Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Age,Immigrants,Emigrants,Diferencia
2017,1,Ciutat Vella,1,el Raval,0-4,154,108,46
2017,1,Ciutat Vella,2,el Barri Gòtic,0-4,58,33,25
2017,1,Ciutat Vella,3,la Barceloneta,0-4,38,37,1
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",0-4,56,55,1
2017,2,Eixample,5,el Fort Pienc,0-4,79,60,19
2017,2,Eixample,6,la Sagrada Família,0-4,111,95,16
2017,2,Eixample,7,la Dreta de l'Eixample,0-4,121,78,43
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,0-4,97,63,34
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,0-4,123,130,-7
2017,2,Eixample,10,Sant Antoni,0-4,57,80,-23
2017,3,Sants-Montjuïc,11,el Poble Sec,0-4,80,99,-19
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,0-4,1,2,-1
2017,3,Sants-Montjuïc,13,la Marina de Port,0-4,71,59,12
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,0-4,14,15,-1
2017,3,Sants-Montjuïc,15,Hostafrancs,0-4,31,37,-6
2017,3,Sants-Montjuïc,16,la Bordeta,0-4,33,39,-6
2017,3,Sants-Montjuïc,17,Sants - Badal,0-4,49,57,-8
2017,3,Sants-Montjuïc,18,Sants,0-4,106,83,23
2017,4,Les Corts,19,les Corts,0-4,103,73,30
2017,4,Les Corts,20,la Maternitat i Sant Ramon,0-4,81,55,26
2017,4,Les Corts,21,Pedralbes,0-4,36,16,20
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",0-4,20,16,4
2017,5,Sarrià-Sant Gervasi,23,Sarrià,0-4,87,61,26
2017,5,Sarrià-Sant Gervasi,24,les Tres Torres,0-4,72,28,44
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,0-4,59,30,29
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,0-4,141,82,59
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,0-4,74,64,10
