Year,District Code,District Name,Neighborhood Code,Neighborhood Name,Age,Immigrants,Emigrants,Diferencia
2015,1,Ciutat Vella,2,el Barri Gòtic,45-49,96,57,39
2015,1,Ciutat Vella,3,la Barceloneta,45-49,66,30,36
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45-49,105,70,35
2015,2,Eixample,5,el Fort Pienc,45-49,94,69,25
2015,2,Eixample,6,la Sagrada Família,45-49,141,106,35
2015,2,Eixample,7,la Dreta de l'Eixample,45-49,139,96,43
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,45-49,140,81,59
2015,2,Eixample,9,la Nova Esquerra de l'Eixample,45-49,161,99,62
2015,2,Eixample,10,Sant Antoni,45-49,91,97,-6
2015,3,Sants-Montjuïc,11,el Poble Sec,45-49,144,124,20
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,45-49,3,3,0
2015,3,Sants-Montjuïc,13,la Marina de Port,45-49,73,64,9
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,45-49,27,24,3
2015,3,Sants-Montjuïc,15,Hostafrancs,45-49,62,48,14
2015,3,Sants-Montjuïc,16,la Bordeta,45-49,46,38,8
2015,3,Sants-Montjuïc,17,Sants - Badal,45-49,80,80,0
2015,3,Sants-Montjuïc,18,Sants,45-49,156,110,46
2015,4,Les Corts,19,les Corts,45-49,114,80,34
2015,4,Les Corts,20,la Maternitat i Sant Ramon,45-49,55,44,11
2015,4,Les Corts,21,Pedralbes,45-49,52,28,24
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",45-49,28,16,12
2015,5,Sarrià-Sant Gervasi,23,Sarrià,45-49,95,42,53
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,45-49,65,32,33
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,45-49,74,54,20
2015,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,45-49,164,73,91
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,45-49,72,44,28
2015,6,Gràcia,28,Vallcarca i els Penitents,45-49,31,22,9
2015,6,Gràcia,29,el Coll,45-49,17,12,5
2015,6,Gràcia,30,la Salut,45-49,32,10,22
2015,6,Gràcia,31,la Vila de Gràcia,45-49,141,114,27
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,45-49,55,43,12
2015,7,Horta-Guinardó,33,el Baix Guinardó,45-49,62,45,17
2015,7,Horta-Guinardó,34,Can Baró,45-49,22,23,-1
2015,7,Horta-Guinardó,35,el Guinardó,45-49,92,76,16
2015,7,Horta-Guinardó,36,la Font d'en Fargues,45-49,13,11,2
2015,7,Horta-Guinardó,37,el Carmel,45-49,63,60,3
2015,7,Horta-Guinardó,38,la Teixonera,45-49,22,16,6
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,45-49,19,17,2
2015,7,Horta-Guinardó,40,Montbau,45-49,17,13,4
2015,7,Horta-Guinardó,41,la Vall d'Hebron,45-49,13,9,4
2015,7,Horta-Guinardó,42,la Clota,45-49,2,1,1
2015,7,Horta-Guinardó,43,Horta,45-49,69,50,19
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,45-49,66,42,24
2015,8,Nou Barris,45,Porta,45-49,70,40,30
2015,8,Nou Barris,46,el Turó de la Peira,45-49,53,20,33
2015,8,Nou Barris,47,Can Peguera,45-49,5,4,1
2015,8,Nou Barris,48,la Guineueta,45-49,24,20,4
2015,8,Nou Barris,49,Canyelles,45-49,11,8,3
2015,8,Nou Barris,50,les Roquetes,45-49,45,43,2
2015,8,Nou Barris,51,Verdun,45-49,27,18,9
2015,8,Nou Barris,52,la Prosperitat,45-49,75,42,33
2015,8,Nou Barris,53,la Trinitat Nova,45-49,19,13,6
2015,8,Nou Barris,54,Torre Baró,45-49,6,7,-1
