Station,Air Quality,Longitude,Latitude,O3 Hour,O3 Quality,O3 Value,NO2 Hour,NO2 Quality,NO2 Value,PM10 Hour,PM10 Quality,PM10 Value,Generated,Date Time
Barcelona - Sants,Good,2.1331,41.3788,,,,0h,Good,84.0,,,,01/11/2018 0:00,1541027104
Barcelona - Eixample,Moderate,2.1538,41.3853,0h,Good,1.0,0h,Moderate,113.0,0h,Good,36.0,01/11/2018 0:00,1541027104
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,10.0,0h,Good,73.0,,,,01/11/2018 0:00,1541027104
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,2.0,0h,Good,86.0,,,,01/11/2018 0:00,1541027104
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,7.0,0h,Good,69.0,,,,01/11/2018 0:00,1541027104
Barcelona - Palau Reial,Good,2.1151,41.3875,23h,Good,11.0,23h,Good,57.0,23h,Good,23.0,01/11/2018 0:00,1541027104
Barcelona - Poblenou,Good,2.2045,41.4039,,,,23h,Good,86.0,23h,Good,32.0,01/11/2018 0:00,1541027104
Barcelona - Observ Fabra,Good,2.1239,41.4183,23h,Good,58.0,23h,Good,3.0,23h,Good,25.0,01/11/2018 0:00,1541027104
Barcelona - Sants,Good,2.1331,41.3788,,,,0h,Good,62.0,,,,01/11/2018 1:00,1541030725
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,6.0,0h,Good,80.0,1h,Good,35.0,01/11/2018 1:00,1541030725
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,21.0,0h,Good,59.0,,,,01/11/2018 1:00,1541030725
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,4.0,0h,Good,78.0,,,,01/11/2018 1:00,1541030725
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,29.0,0h,Good,45.0,,,,01/11/2018 1:00,1541030725
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,27.0,0h,Good,38.0,1h,Good,24.0,01/11/2018 1:00,1541030725
Barcelona - Poblenou,Good,2.2045,41.4039,,,,0h,Good,75.0,1h,Good,32.0,01/11/2018 1:00,1541030725
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,87.0,0h,Good,8.0,1h,Good,25.0,01/11/2018 1:00,1541030725
Barcelona - Sants,Good,2.1331,41.3788,,,,1h,Good,46.0,,,,01/11/2018 2:00,1541034303
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,14.0,1h,Good,64.0,1h,Good,34.0,01/11/2018 2:00,1541034303
Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,32.0,1h,Good,41.0,,,,01/11/2018 2:00,1541034303
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,24.0,1h,Good,56.0,,,,01/11/2018 2:00,1541034303
Barcelona - Vall Hebron,Good,2.148,41.4261,1h,Good,47.0,1h,Good,27.0,,,,01/11/2018 2:00,1541034303
Barcelona - Palau Reial,Good,2.1151,41.3875,1h,Good,34.0,1h,Good,28.0,2h,Good,24.0,01/11/2018 2:00,1541034303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,1h,Good,51.0,2h,Good,32.0,01/11/2018 2:00,1541034303
Barcelona - Observ Fabra,Good,2.1239,41.4183,1h,Good,77.0,1h,Good,11.0,2h,Good,25.0,01/11/2018 2:00,1541034303
Barcelona - Sants,Good,2.1331,41.3788,,,,1h,Good,46.0,,,,01/11/2018 3:00,1541037902
Barcelona - Eixample,Good,2.1538,41.3853,2h,Good,32.0,2h,Good,44.0,3h,Good,35.0,01/11/2018 3:00,1541037902
Barcelona - Gràcia,Good,2.1534,41.3987,2h,Good,48.0,2h,Good,27.0,,,,01/11/2018 3:00,1541037902
Barcelona - Ciutadella,Good,2.1874,41.3864,2h,Good,45.0,2h,Good,29.0,,,,01/11/2018 3:00,1541037902
Barcelona - Vall Hebron,Good,2.148,41.4261,2h,Good,65.0,2h,Good,14.0,,,,01/11/2018 3:00,1541037902
Barcelona - Palau Reial,Good,2.1151,41.3875,2h,Good,38.0,2h,Good,19.0,3h,Good,24.0,01/11/2018 3:00,1541037902
Barcelona - Poblenou,Good,2.2045,41.4039,,,,2h,Good,34.0,3h,Good,31.0,01/11/2018 3:00,1541037902
Barcelona - Observ Fabra,Good,2.1239,41.4183,2h,Good,83.0,2h,Good,6.0,2h,Good,24.0,01/11/2018 3:00,1541037902
Barcelona - Sants,--,2.1331,41.3788,,,,2h,--,,,,,01/11/2018 4:00,1541041503
Barcelona - Eixample,Good,2.1538,41.3853,3h,Good,43.0,3h,Good,34.0,4h,Good,34.0,01/11/2018 4:00,1541041503
Barcelona - Gràcia,Good,2.1534,41.3987,3h,Good,58.0,3h,Good,18.0,,,,01/11/2018 4:00,1541041503
Barcelona - Ciutadella,Good,2.1874,41.3864,3h,Good,61.0,3h,Good,19.0,,,,01/11/2018 4:00,1541041503
Barcelona - Vall Hebron,Good,2.148,41.4261,3h,Good,70.0,3h,Good,11.0,,,,01/11/2018 4:00,1541041503
Barcelona - Palau Reial,Good,2.1151,41.3875,3h,Good,57.0,3h,Good,7.0,4h,Good,23.0,01/11/2018 4:00,1541041503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,3h,Good,20.0,4h,Good,30.0,01/11/2018 4:00,1541041503
Barcelona - Observ Fabra,Good,2.1239,41.4183,3h,Good,83.0,3h,Good,4.0,4h,Good,23.0,01/11/2018 4:00,1541041503
Barcelona - Sants,--,2.1331,41.3788,,,,2h,--,,,,,01/11/2018 5:00,1541045102
Barcelona - Eixample,Good,2.1538,41.3853,4h,Good,45.0,4h,Good,26.0,4h,Good,33.0,01/11/2018 5:00,1541045102
Barcelona - Gràcia,Good,2.1534,41.3987,4h,Good,58.0,4h,Good,16.0,,,,01/11/2018 5:00,1541045102
Barcelona - Ciutadella,Good,2.1874,41.3864,4h,Good,50.0,4h,Good,26.0,,,,01/11/2018 5:00,1541045102
Barcelona - Vall Hebron,Good,2.148,41.4261,4h,Good,69.0,4h,Good,7.0,,,,01/11/2018 5:00,1541045102
Barcelona - Palau Reial,Good,2.1151,41.3875,4h,Good,48.0,4h,Good,8.0,5h,Good,21.0,01/11/2018 5:00,1541045102
Barcelona - Poblenou,Good,2.2045,41.4039,,,,4h,Good,25.0,5h,Good,27.0,01/11/2018 5:00,1541045102
Barcelona - Observ Fabra,Good,2.1239,41.4183,4h,Good,81.0,4h,Good,2.0,5h,Good,18.0,01/11/2018 5:00,1541045102
Barcelona - Sants,--,2.1331,41.3788,,,,4h,--,,,,,01/11/2018 6:00,1541048703
Barcelona - Eixample,Good,2.1538,41.3853,5h,Good,37.0,5h,Good,31.0,6h,Good,27.0,01/11/2018 6:00,1541048703
Barcelona - Gràcia,Good,2.1534,41.3987,5h,Good,51.0,5h,Good,19.0,,,,01/11/2018 6:00,1541048703
Barcelona - Ciutadella,Good,2.1874,41.3864,5h,Good,52.0,5h,Good,18.0,,,,01/11/2018 6:00,1541048703
Barcelona - Vall Hebron,Good,2.148,41.4261,5h,Good,63.0,5h,Good,8.0,,,,01/11/2018 6:00,1541048703
Barcelona - Palau Reial,Good,2.1151,41.3875,5h,Good,41.0,5h,Good,11.0,6h,Good,17.0,01/11/2018 6:00,1541048703
Barcelona - Poblenou,Good,2.2045,41.4039,,,,5h,Good,27.0,6h,Good,24.0,01/11/2018 6:00,1541048703
Barcelona - Observ Fabra,Good,2.1239,41.4183,5h,Good,77.0,5h,Good,2.0,5h,Good,18.0,01/11/2018 6:00,1541048703
Barcelona - Sants,Good,2.1331,41.3788,,,,6h,Good,17.0,,,,01/11/2018 7:00,1541052302
Barcelona - Eixample,Good,2.1538,41.3853,6h,Good,24.0,6h,Good,37.0,7h,Good,25.0,01/11/2018 7:00,1541052302
Barcelona - Gràcia,Good,2.1534,41.3987,6h,Good,45.0,6h,Good,19.0,,,,01/11/2018 7:00,1541052302
Barcelona - Ciutadella,Good,2.1874,41.3864,6h,Good,46.0,6h,Good,17.0,,,,01/11/2018 7:00,1541052302
Barcelona - Vall Hebron,Good,2.148,41.4261,6h,Good,54.0,6h,Good,11.0,,,,01/11/2018 7:00,1541052302
Barcelona - Palau Reial,Good,2.1151,41.3875,6h,Good,28.0,6h,Good,17.0,7h,Good,15.0,01/11/2018 7:00,1541052302
Barcelona - Poblenou,Good,2.2045,41.4039,,,,6h,Good,22.0,7h,Good,21.0,01/11/2018 7:00,1541052302
Barcelona - Observ Fabra,Good,2.1239,41.4183,6h,Good,69.0,6h,Good,2.0,7h,Good,10.0,01/11/2018 7:00,1541052302
Barcelona - Sants,Good,2.1331,41.3788,,,,7h,Good,25.0,,,,01/11/2018 8:00,1541055903
Barcelona - Eixample,Good,2.1538,41.3853,7h,Good,18.0,7h,Good,42.0,7h,Good,24.0,01/11/2018 8:00,1541055903
Barcelona - Gràcia,Good,2.1534,41.3987,7h,Good,39.0,7h,Good,21.0,,,,01/11/2018 8:00,1541055903
Barcelona - Ciutadella,Good,2.1874,41.3864,7h,Good,36.0,7h,Good,21.0,,,,01/11/2018 8:00,1541055903
Barcelona - Vall Hebron,Good,2.148,41.4261,7h,Good,37.0,7h,Good,26.0,,,,01/11/2018 8:00,1541055903
Barcelona - Palau Reial,Good,2.1151,41.3875,7h,Good,10.0,7h,Good,34.0,8h,Good,13.0,01/11/2018 8:00,1541055903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,7h,Good,22.0,8h,Good,20.0,01/11/2018 8:00,1541055903
Barcelona - Observ Fabra,Good,2.1239,41.4183,7h,Good,67.0,7h,Good,2.0,8h,Good,8.0,01/11/2018 8:00,1541055903
Barcelona - Sants,Good,2.1331,41.3788,,,,8h,Good,45.0,,,,01/11/2018 9:00,1541059503
Barcelona - Eixample,Good,2.1538,41.3853,8h,Good,6.0,8h,Good,52.0,9h,Good,21.0,01/11/2018 9:00,1541059503
Barcelona - Gràcia,Good,2.1534,41.3987,8h,Good,17.0,8h,Good,43.0,,,,01/11/2018 9:00,1541059503
Barcelona - Ciutadella,Good,2.1874,41.3864,8h,Good,18.0,8h,Good,34.0,,,,01/11/2018 9:00,1541059503
Barcelona - Vall Hebron,Good,2.148,41.4261,8h,Good,8.0,8h,Good,59.0,,,,01/11/2018 9:00,1541059503
Barcelona - Palau Reial,Good,2.1151,41.3875,8h,Good,7.0,8h,Good,36.0,9h,Good,12.0,01/11/2018 9:00,1541059503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,8h,Good,31.0,9h,Good,18.0,01/11/2018 9:00,1541059503
Barcelona - Observ Fabra,Good,2.1239,41.4183,8h,Good,67.0,8h,Good,3.0,8h,Good,8.0,01/11/2018 9:00,1541059503
Barcelona - Sants,Good,2.1331,41.3788,,,,9h,Good,35.0,,,,01/11/2018 10:00,1541063103
Barcelona - Eixample,Good,2.1538,41.3853,9h,Good,3.0,9h,Good,60.0,10h,Good,20.0,01/11/2018 10:00,1541063103
Barcelona - Gràcia,Good,2.1534,41.3987,9h,Good,14.0,9h,Good,49.0,,,,01/11/2018 10:00,1541063103
Barcelona - Ciutadella,Good,2.1874,41.3864,9h,Good,24.0,9h,Good,34.0,,,,01/11/2018 10:00,1541063103
Barcelona - Vall Hebron,Good,2.148,41.4261,9h,Good,14.0,9h,Good,51.0,,,,01/11/2018 10:00,1541063103
Barcelona - Palau Reial,Good,2.1151,41.3875,9h,Good,21.0,9h,Good,15.0,10h,Good,11.0,01/11/2018 10:00,1541063103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,9h,Good,37.0,10h,Good,17.0,01/11/2018 10:00,1541063103
Barcelona - Observ Fabra,Good,2.1239,41.4183,9h,Good,69.0,9h,Good,3.0,10h,Good,6.0,01/11/2018 10:00,1541063103
Barcelona - Sants,Good,2.1331,41.3788,,,,10h,Good,23.0,,,,01/11/2018 11:00,1541066703
Barcelona - Eixample,Good,2.1538,41.3853,10h,Good,12.0,10h,Good,64.0,10h,Good,19.0,01/11/2018 11:00,1541066703
Barcelona - Gràcia,Good,2.1534,41.3987,10h,Good,32.0,10h,Good,33.0,,,,01/11/2018 11:00,1541066703
Barcelona - Ciutadella,Good,2.1874,41.3864,10h,Good,34.0,10h,Good,25.0,,,,01/11/2018 11:00,1541066703
Barcelona - Vall Hebron,Good,2.148,41.4261,10h,Good,44.0,10h,Good,15.0,,,,01/11/2018 11:00,1541066703
Barcelona - Palau Reial,Good,2.1151,41.3875,10h,Good,33.0,10h,Good,11.0,10h,Good,12.0,01/11/2018 11:00,1541066703
Barcelona - Poblenou,Good,2.2045,41.4039,,,,10h,Good,28.0,10h,Good,16.0,01/11/2018 11:00,1541066703
Barcelona - Observ Fabra,Good,2.1239,41.4183,10h,Good,64.0,10h,Good,7.0,11h,Good,6.0,01/11/2018 11:00,1541066703
Barcelona - Sants,Good,2.1331,41.3788,,,,11h,Good,31.0,,,,01/11/2018 12:00,1541070303
Barcelona - Eixample,Good,2.1538,41.3853,11h,Good,22.0,11h,Good,50.0,12h,Good,18.0,01/11/2018 12:00,1541070303
Barcelona - Gràcia,Good,2.1534,41.3987,11h,Good,30.0,11h,Good,37.0,,,,01/11/2018 12:00,1541070303
Barcelona - Ciutadella,Good,2.1874,41.3864,11h,Good,35.0,11h,Good,21.0,,,,01/11/2018 12:00,1541070303
Barcelona - Vall Hebron,Good,2.148,41.4261,11h,Good,47.0,11h,Good,13.0,,,,01/11/2018 12:00,1541070303
Barcelona - Palau Reial,Good,2.1151,41.3875,11h,Good,38.0,11h,Good,19.0,12h,Good,11.0,01/11/2018 12:00,1541070303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,11h,Good,29.0,12h,Good,15.0,01/11/2018 12:00,1541070303
Barcelona - Observ Fabra,Good,2.1239,41.4183,11h,Good,68.0,11h,Good,3.0,12h,Good,7.0,01/11/2018 12:00,1541070303
Barcelona - Sants,Good,2.1331,41.3788,,,,12h,Good,14.0,,,,01/11/2018 13:00,1541073903
Barcelona - Eixample,Good,2.1538,41.3853,12h,Good,29.0,12h,Good,35.0,13h,Good,18.0,01/11/2018 13:00,1541073903
Barcelona - Gràcia,Good,2.1534,41.3987,12h,Good,46.0,12h,Good,21.0,,,,01/11/2018 13:00,1541073903
Barcelona - Ciutadella,Good,2.1874,41.3864,12h,Good,41.0,12h,Good,16.0,,,,01/11/2018 13:00,1541073903
Barcelona - Vall Hebron,Good,2.148,41.4261,12h,Good,47.0,12h,Good,15.0,,,,01/11/2018 13:00,1541073903
Barcelona - Palau Reial,Good,2.1151,41.3875,12h,Good,44.0,12h,Good,5.0,13h,Good,11.0,01/11/2018 13:00,1541073903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,12h,Good,20.0,13h,Good,14.0,01/11/2018 13:00,1541073903
Barcelona - Observ Fabra,Good,2.1239,41.4183,12h,Good,62.0,12h,Good,5.0,13h,Good,6.0,01/11/2018 13:00,1541073903
Barcelona - Sants,Good,2.1331,41.3788,,,,13h,Good,9.0,,,,01/11/2018 14:00,1541077503
Barcelona - Eixample,Good,2.1538,41.3853,13h,Good,38.0,13h,Good,26.0,14h,Good,17.0,01/11/2018 14:00,1541077503
Barcelona - Gràcia,Good,2.1534,41.3987,13h,Good,54.0,13h,Good,14.0,,,,01/11/2018 14:00,1541077503
Barcelona - Ciutadella,Good,2.1874,41.3864,13h,Good,53.0,13h,Good,11.0,,,,01/11/2018 14:00,1541077503
Barcelona - Vall Hebron,Good,2.148,41.4261,13h,Good,62.0,13h,Good,10.0,,,,01/11/2018 14:00,1541077503
Barcelona - Palau Reial,Good,2.1151,41.3875,13h,Good,54.0,13h,Good,1.0,13h,Good,10.0,01/11/2018 14:00,1541077503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,13h,Good,14.0,13h,Good,14.0,01/11/2018 14:00,1541077503
Barcelona - Observ Fabra,Good,2.1239,41.4183,13h,Good,69.0,13h,Good,3.0,14h,Good,6.0,01/11/2018 14:00,1541077503
Barcelona - Sants,Good,2.1331,41.3788,,,,14h,Good,10.0,,,,01/11/2018 15:00,1541081103
Barcelona - Eixample,Good,2.1538,41.3853,14h,Good,39.0,14h,Good,33.0,15h,Good,16.0,01/11/2018 15:00,1541081103
Barcelona - Gràcia,Good,2.1534,41.3987,14h,Good,54.0,14h,Good,14.0,,,,01/11/2018 15:00,1541081103
Barcelona - Ciutadella,Good,2.1874,41.3864,14h,Good,58.0,14h,Good,10.0,,,,01/11/2018 15:00,1541081103
Barcelona - Vall Hebron,Good,2.148,41.4261,14h,Good,63.0,14h,Good,9.0,,,,01/11/2018 15:00,1541081103
Barcelona - Palau Reial,Good,2.1151,41.3875,14h,Good,54.0,14h,Good,2.0,15h,Good,10.0,01/11/2018 15:00,1541081103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,14h,Good,17.0,15h,Good,11.0,01/11/2018 15:00,1541081103
Barcelona - Observ Fabra,Good,2.1239,41.4183,14h,Good,69.0,14h,Good,4.0,15h,Good,6.0,01/11/2018 15:00,1541081103
Barcelona - Sants,Good,2.1331,41.3788,,,,15h,Good,9.0,,,,01/11/2018 16:00,1541084703
Barcelona - Eixample,Good,2.1538,41.3853,15h,Good,39.0,15h,Good,31.0,16h,Good,16.0,01/11/2018 16:00,1541084703
Barcelona - Gràcia,Good,2.1534,41.3987,15h,Good,55.0,15h,Good,12.0,,,,01/11/2018 16:00,1541084703
Barcelona - Ciutadella,Good,2.1874,41.3864,15h,Good,61.0,15h,Good,11.0,,,,01/11/2018 16:00,1541084703
Barcelona - Vall Hebron,Good,2.148,41.4261,15h,Good,63.0,15h,Good,8.0,,,,01/11/2018 16:00,1541084703
Barcelona - Palau Reial,Good,2.1151,41.3875,15h,Good,56.0,15h,Good,2.0,16h,Good,10.0,01/11/2018 16:00,1541084703
Barcelona - Poblenou,Good,2.2045,41.4039,,,,15h,Good,14.0,16h,Good,10.0,01/11/2018 16:00,1541084703
Barcelona - Observ Fabra,Good,2.1239,41.4183,15h,Good,69.0,15h,Good,4.0,16h,Good,6.0,01/11/2018 16:00,1541084703
Barcelona - Sants,Good,2.1331,41.3788,,,,16h,Good,9.0,,,,01/11/2018 17:00,1541088303
Barcelona - Eixample,Good,2.1538,41.3853,16h,Good,39.0,16h,Good,33.0,17h,Good,15.0,01/11/2018 17:00,1541088303
Barcelona - Gràcia,Good,2.1534,41.3987,16h,Good,51.0,16h,Good,16.0,,,,01/11/2018 17:00,1541088303
Barcelona - Ciutadella,Good,2.1874,41.3864,16h,Good,58.0,16h,Good,10.0,,,,01/11/2018 17:00,1541088303
Barcelona - Vall Hebron,Good,2.148,41.4261,16h,Good,62.0,16h,Good,9.0,,,,01/11/2018 17:00,1541088303
Barcelona - Palau Reial,Good,2.1151,41.3875,16h,Good,54.0,16h,Good,3.0,16h,Good,9.0,01/11/2018 17:00,1541088303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,16h,Good,14.0,16h,Good,9.0,01/11/2018 17:00,1541088303
Barcelona - Observ Fabra,Good,2.1239,41.4183,16h,Good,70.0,16h,Good,3.0,17h,Good,6.0,01/11/2018 17:00,1541088303
Barcelona - Sants,Good,2.1331,41.3788,,,,17h,Good,14.0,,,,01/11/2018 18:00,1541091903
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,38.0,17h,Good,37.0,18h,Good,14.0,01/11/2018 18:00,1541091903
Barcelona - Gràcia,Good,2.1534,41.3987,17h,Good,49.0,17h,Good,21.0,,,,01/11/2018 18:00,1541091903
Barcelona - Ciutadella,Good,2.1874,41.3864,17h,Good,54.0,17h,Good,16.0,,,,01/11/2018 18:00,1541091903
Barcelona - Vall Hebron,Good,2.148,41.4261,17h,Good,54.0,17h,Good,15.0,,,,01/11/2018 18:00,1541091903
Barcelona - Palau Reial,Good,2.1151,41.3875,17h,Good,54.0,17h,Good,3.0,18h,Good,9.0,01/11/2018 18:00,1541091903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,17h,Good,18.0,18h,Good,8.0,01/11/2018 18:00,1541091903
Barcelona - Observ Fabra,Good,2.1239,41.4183,17h,Good,71.0,17h,Good,5.0,18h,Good,6.0,01/11/2018 18:00,1541091903
Barcelona - Sants,Good,2.1331,41.3788,,,,18h,Good,29.0,,,,01/11/2018 19:00,1541095503
Barcelona - Eixample,Good,2.1538,41.3853,17h,Good,38.0,17h,Good,37.0,19h,Good,13.0,01/11/2018 19:00,1541095503
Barcelona - Gràcia,Good,2.1534,41.3987,18h,Good,49.0,18h,Good,28.0,,,,01/11/2018 19:00,1541095503
Barcelona - Ciutadella,Good,2.1874,41.3864,18h,Good,46.0,18h,Good,16.0,,,,01/11/2018 19:00,1541095503
Barcelona - Vall Hebron,Good,2.148,41.4261,18h,Good,18.0,18h,Good,58.0,,,,01/11/2018 19:00,1541095503
Barcelona - Palau Reial,Good,2.1151,41.3875,18h,Good,30.0,18h,Good,23.0,19h,Good,9.0,01/11/2018 19:00,1541095503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,18h,Good,19.0,19h,Good,7.0,01/11/2018 19:00,1541095503
Barcelona - Observ Fabra,Good,2.1239,41.4183,18h,Good,57.0,18h,Good,20.0,19h,Good,6.0,01/11/2018 19:00,1541095503
Barcelona - Sants,Good,2.1331,41.3788,,,,19h,Good,35.0,,,,01/11/2018 20:00,1541099103
Barcelona - Eixample,Good,2.1538,41.3853,18h,--,,18h,--,,20h,Good,13.0,01/11/2018 20:00,1541099103
Barcelona - Gràcia,Good,2.1534,41.3987,19h,Good,38.0,19h,Good,37.0,,,,01/11/2018 20:00,1541099103
Barcelona - Ciutadella,Good,2.1874,41.3864,19h,Good,38.0,19h,Good,23.0,,,,01/11/2018 20:00,1541099103
Barcelona - Vall Hebron,Good,2.148,41.4261,19h,Good,2.0,19h,Good,72.0,,,,01/11/2018 20:00,1541099103
Barcelona - Palau Reial,Good,2.1151,41.3875,19h,Good,15.0,19h,Good,40.0,19h,Good,9.0,01/11/2018 20:00,1541099103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,19h,Good,33.0,19h,Good,8.0,01/11/2018 20:00,1541099103
Barcelona - Observ Fabra,Good,2.1239,41.4183,19h,Good,65.0,19h,Good,15.0,19h,Good,6.0,01/11/2018 20:00,1541099103
Barcelona - Sants,Good,2.1331,41.3788,,,,20h,Good,66.0,,,,01/11/2018 21:00,1541102702
Barcelona - Eixample,Good,2.1538,41.3853,19h,--,,19h,--,,21h,Good,12.0,01/11/2018 21:00,1541102702
Barcelona - Gràcia,Good,2.1534,41.3987,20h,Good,8.0,20h,Good,67.0,,,,01/11/2018 21:00,1541102702
Barcelona - Ciutadella,Good,2.1874,41.3864,20h,Good,34.0,20h,Good,31.0,,,,01/11/2018 21:00,1541102702
Barcelona - Vall Hebron,Good,2.148,41.4261,20h,Good,2.0,20h,Good,73.0,,,,01/11/2018 21:00,1541102702
Barcelona - Palau Reial,Good,2.1151,41.3875,20h,Good,23.0,20h,Good,31.0,21h,Good,8.0,01/11/2018 21:00,1541102702
Barcelona - Poblenou,Good,2.2045,41.4039,,,,20h,Good,56.0,21h,Good,7.0,01/11/2018 21:00,1541102702
Barcelona - Observ Fabra,Good,2.1239,41.4183,20h,Good,69.0,20h,Good,13.0,21h,Good,6.0,01/11/2018 21:00,1541102702
Barcelona - Sants,Good,2.1331,41.3788,,,,21h,Good,73.0,,,,01/11/2018 22:00,1541106303
Barcelona - Eixample,Good,2.1538,41.3853,19h,--,,19h,--,,21h,Good,12.0,01/11/2018 22:00,1541106303
Barcelona - Gràcia,Good,2.1534,41.3987,21h,Good,5.0,21h,Good,70.0,,,,01/11/2018 22:00,1541106303
Barcelona - Ciutadella,Good,2.1874,41.3864,21h,Good,3.0,21h,Good,69.0,,,,01/11/2018 22:00,1541106303
Barcelona - Vall Hebron,Good,2.148,41.4261,21h,Good,7.0,21h,Good,66.0,,,,01/11/2018 22:00,1541106303
Barcelona - Palau Reial,Good,2.1151,41.3875,21h,Good,18.0,21h,Good,38.0,22h,Good,9.0,01/11/2018 22:00,1541106303
Barcelona - Poblenou,Good,2.2045,41.4039,,,,21h,Good,73.0,22h,Good,7.0,01/11/2018 22:00,1541106303
Barcelona - Observ Fabra,Good,2.1239,41.4183,21h,Good,77.0,21h,Good,4.0,22h,Good,6.0,01/11/2018 22:00,1541106303
Barcelona - Sants,--,2.1331,41.3788,,,,,,,,,,01/11/2018 23:00,1541109903
Barcelona - Eixample,Good,2.1538,41.3853,,,,,,,23h,Good,13.0,01/11/2018 23:00,1541109903
Barcelona - Gràcia,--,2.1534,41.3987,,,,,,,,,,01/11/2018 23:00,1541109903
Barcelona - Ciutadella,--,2.1874,41.3864,,,,,,,,,,01/11/2018 23:00,1541109903
Barcelona - Vall Hebron,--,2.148,41.4261,,,,,,,,,,01/11/2018 23:00,1541109903
Barcelona - Palau Reial,Good,2.1151,41.3875,,,,,,,23h,Good,9.0,01/11/2018 23:00,1541109903
Barcelona - Poblenou,Good,2.2045,41.4039,,,,,,,23h,Good,7.0,01/11/2018 23:00,1541109903
Barcelona - Observ Fabra,Good,2.1239,41.4183,22h,Good,61.0,22h,Good,13.0,22h,Good,6.0,01/11/2018 23:00,1541109903
Barcelona - Sants,Good,2.1331,41.3788,,,,0h,Good,41.0,,,,02/11/2018 0:00,1541113503
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,13.0,0h,Good,52.0,0h,Good,13.0,02/11/2018 0:00,1541113503
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,19.0,0h,Good,42.0,,,,02/11/2018 0:00,1541113503
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,14.0,0h,Good,50.0,,,,02/11/2018 0:00,1541113503
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,30.0,0h,Good,29.0,,,,02/11/2018 0:00,1541113503
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,31.0,0h,Good,19.0,0h,Good,9.0,02/11/2018 0:00,1541113503
Barcelona - Poblenou,Good,2.2045,41.4039,,,,0h,Good,53.0,0h,Good,8.0,02/11/2018 0:00,1541113503
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,66.0,0h,Good,6.0,0h,Good,7.0,02/11/2018 0:00,1541113503
Barcelona - Sants,Good,2.1331,41.3788,,,,0h,Good,41.0,,,,02/11/2018 1:00,1541117103
Barcelona - Eixample,Good,2.1538,41.3853,0h,Good,4.0,0h,Good,57.0,0h,Good,13.0,02/11/2018 1:00,1541117103
Barcelona - Gràcia,Good,2.1534,41.3987,0h,Good,20.0,0h,Good,38.0,,,,02/11/2018 1:00,1541117103
Barcelona - Ciutadella,Good,2.1874,41.3864,0h,Good,11.0,0h,Good,48.0,,,,02/11/2018 1:00,1541117103
Barcelona - Vall Hebron,Good,2.148,41.4261,0h,Good,31.0,0h,Good,22.0,,,,02/11/2018 1:00,1541117103
Barcelona - Palau Reial,Good,2.1151,41.3875,0h,Good,22.0,0h,Good,25.0,1h,Good,9.0,02/11/2018 1:00,1541117103
Barcelona - Poblenou,Good,2.2045,41.4039,,,,0h,Good,47.0,1h,Good,8.0,02/11/2018 1:00,1541117103
Barcelona - Observ Fabra,Good,2.1239,41.4183,0h,Good,72.0,0h,Good,3.0,1h,Good,7.0,02/11/2018 1:00,1541117103
Barcelona - Sants,--,2.1331,41.3788,,,,0h,--,,,,,02/11/2018 2:00,1541120703
Barcelona - Eixample,Good,2.1538,41.3853,1h,Good,4.0,1h,Good,65.0,2h,Good,14.0,02/11/2018 2:00,1541120703
Barcelona - Gràcia,Good,2.1534,41.3987,1h,Good,28.0,1h,Good,29.0,,,,02/11/2018 2:00,1541120703
Barcelona - Ciutadella,Good,2.1874,41.3864,1h,Good,16.0,1h,Good,40.0,,,,02/11/2018 2:00,1541120703
