District Name,Neighborhood Name,Street,Weekday,Month,Day,Hour,Part of the day,Mild injuries,Serious injuries,Victims,Vehicles involved,Longitude,Latitude
Eixample,l'Antiga Esquerra de l'Eixample,Casanova / Londres                                ,Friday,November,24,9,Morning,1,0,1,2,2.14942,41.392464
Eixample,la Dreta de l'Eixample,COMTE D'URGELL                                    ,Friday,January,13,13,Morning,1,0,1,2,2.146385,41.391121
Eixample,la Dreta de l'Eixample,NÀPOLS / Provença                                 ,Tuesday,February,14,8,Morning,1,0,1,2,2.170933,41.401797
Eixample,la Dreta de l'Eixample,València / Diagonal                               ,Wednesday,May,10,9,Morning,1,0,1,2,2.17317,41.400095
Eixample,la Dreta de l'Eixample,València / Diagonal                               ,Friday,December,22,13,Morning,1,0,1,2,2.17317,41.400095
Eixample,l'Antiga Esquerra de l'Eixample,Diagonal / Muntaner                               ,Tuesday,November,21,12,Morning,1,0,1,2,2.149606,41.394029
Eixample,la Dreta de l'Eixample,Sant Joan                                         ,Monday,August,7,21,Afternoon,1,0,1,1,2.168539,41.40051
Eixample,la Dreta de l'Eixample,Sant Joan                                         ,Sunday,December,3,13,Morning,3,0,3,2,2.168216,41.400755
Eixample,l'Antiga Esquerra de l'Eixample,Mallorca / Casanova                               ,Saturday,September,30,22,Night,1,0,1,2,2.155072,41.388187
Eixample,la Dreta de l'Eixample,Consell de Cent / Roger de Flor                   ,Friday,July,28,12,Morning,1,0,1,2,2.174308,41.397552
Eixample,la Dreta de l'Eixample,Aragó / Pau Claris                                ,Saturday,December,9,14,Afternoon,2,0,2,2,2.166376,41.393276
Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Pl Universitat               ,Wednesday,March,15,20,Afternoon,1,0,1,1,2.163105,41.385547
Eixample,la Dreta de l'Eixample,Consell de Cent / Pau Claris                      ,Wednesday,May,17,22,Night,1,0,1,2,2.167507,41.39244
Eixample,la Dreta de l'Eixample,Bailèn                                            ,Tuesday,April,4,11,Morning,1,0,1,2,2.174965,41.393489
Eixample,la Dreta de l'Eixample,Consell de Cent                                   ,Monday,December,11,13,Morning,3,0,3,2,2.168151,41.393076
Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Girona                       ,Thursday,February,9,20,Afternoon,1,0,1,2,2.173277,41.393182
Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Roger de Llúria              ,Wednesday,February,1,14,Afternoon,2,0,2,2,2.170988,41.391485
Eixample,la Dreta de l'Eixample,Casp / Girona                                     ,Friday,July,28,18,Afternoon,1,0,1,2,2.174556,41.392231
Eixample,la Dreta de l'Eixample,Corts Catalanes / Gràcia                          ,Friday,June,30,16,Afternoon,1,0,1,2,2.168274,41.389418
Eixample,la Dreta de l'Eixample,Diputació / Gràcia                                ,Monday,December,4,16,Afternoon,1,0,1,2,2.167049,41.390416
Eixample,la Dreta de l'Eixample,Gràcia                                            ,Monday,May,15,11,Morning,1,0,1,2,2.166644,41.391177
Eixample,la Dreta de l'Eixample,Consell de Cent / Gràcia                          ,Friday,October,13,19,Afternoon,1,0,1,2,2.165956,41.391288
Eixample,la Dreta de l'Eixample,Aragó / Gràcia                                    ,Thursday,April,13,15,Afternoon,1,0,1,2,2.164884,41.392165
Eixample,la Dreta de l'Eixample,Corts Catalanes / Pau Claris                      ,Monday,August,14,14,Afternoon,2,0,2,2,2.169896,41.390642
Eixample,la Dreta de l'Eixample,Corts Catalanes / Pau Claris                      ,Wednesday,November,1,1,Night,1,0,1,2,2.169896,41.390642
Eixample,la Dreta de l'Eixample,Aragó                                             ,Tuesday,December,5,20,Afternoon,1,0,1,2,2.17171,41.397106
Eixample,la Dreta de l'Eixample,Sant Joan / Casp                                  ,Monday,April,24,10,Morning,1,0,1,2,2.176807,41.393927
Eixample,la Dreta de l'Eixample,Tetuan                                            ,Thursday,November,30,8,Morning,1,0,1,2,2.175917,41.39419
Eixample,la Dreta de l'Eixample,Tetuan                                            ,Tuesday,July,18,21,Afternoon,1,0,1,3,2.175728,41.394232
Eixample,la Dreta de l'Eixample,Roger de Llúria / Casp                            ,Tuesday,November,28,15,Afternoon,1,0,1,2,2.172272,41.390547
Eixample,la Dreta de l'Eixample,CONSELL DE CENT / Roger de Llúria                 ,Thursday,February,9,18,Afternoon,1,0,1,2,2.168621,41.393285
Eixample,la Dreta de l'Eixample,Diputació                                         ,Wednesday,November,22,9,Morning,2,0,2,3,2.173708,41.395538
Eixample,la Dreta de l'Eixample,PL TETUAN                                         ,Saturday,March,11,16,Afternoon,1,0,1,2,2.175342,41.395544
Eixample,la Dreta de l'Eixample,PL TETUAN                                         ,Saturday,January,7,4,Night,1,0,1,2,2.174613,41.395194
Eixample,la Dreta de l'Eixample,Tetuan                                            ,Friday,July,21,9,Morning,1,0,1,2,2.174585,41.394548
Eixample,la Dreta de l'Eixample,PL TETUAN                                         ,Wednesday,February,15,11,Morning,1,0,1,2,2.176167,41.395692
Eixample,la Dreta de l'Eixample,Aragó                                             ,Tuesday,July,4,13,Morning,1,0,1,2,2.168261,41.394512
Eixample,la Dreta de l'Eixample,Bergara / Catalunya                               ,Monday,April,3,4,Night,0,0,0,1,2.169382,41.386614
Eixample,la Dreta de l'Eixample,Catalunya                                         ,Monday,September,18,17,Afternoon,1,0,1,2,2.165052,41.390104
Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Sant Joan                              ,Friday,January,20,9,Morning,2,0,2,3,2.172037,41.397542
Eixample,la Dreta de l'Eixample,Aragó                                             ,Saturday,September,2,20,Afternoon,1,0,1,2,2.169341,41.395324
Eixample,la Dreta de l'Eixample,Catalunya                                         ,Sunday,September,24,21,Afternoon,0,0,0,1,2.169401,41.386016
Eixample,la Dreta de l'Eixample,Consell de Cent / Gràcia                          ,Friday,November,24,21,Afternoon,1,0,1,2,2.165956,41.391288
Eixample,la Dreta de l'Eixample,Consell de Cent / Girona                          ,Friday,June,2,17,Afternoon,0,0,0,2,2.17091,41.394996
Eixample,la Dreta de l'Eixample,Fontanella                                        ,Monday,July,10,12,Morning,1,0,1,2,2.17265,41.388159
Eixample,la Dreta de l'Eixample,Aragó / Balmes                                    ,Saturday,May,6,15,Afternoon,1,0,1,2,2.16187,41.389891
Eixample,la Dreta de l'Eixample,GV CORTS CATALANES / Pau Claris                   ,Saturday,January,7,17,Afternoon,1,0,1,2,2.169896,41.390642
Eixample,la Dreta de l'Eixample,PL TETUAN                                         ,Friday,March,17,13,Morning,0,1,1,2,2.174613,41.395194
Eixample,la Dreta de l'Eixample,Corts Catalanes / Balmes                          ,Thursday,April,27,23,Night,2,0,2,2,2.165353,41.387244
Eixample,la Dreta de l'Eixample,Corts Catalanes / Balmes                          ,Monday,May,29,8,Morning,1,0,1,2,2.165353,41.387244
Eixample,la Dreta de l'Eixample,Corts Catalanes / Pau Claris                      ,Monday,July,17,20,Afternoon,1,0,1,2,2.169896,41.390642
