Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2015,10,Sant Martí,71,Provençals del Poblenou,Female,45-49,769
2015,8,Nou Barris,49,Canyelles,Female,65-69,299
2017,9,Sant Andreu,63,Navas,Male,65-69,551
2015,10,Sant Martí,72,Sant Martí de Provençals,Female,75-79,725
2016,8,Nou Barris,50,les Roquetes,Male,60-64,351
2015,3,Sants-Montjuïc,16,la Bordeta,Female,65-69,612
2016,10,Sant Martí,73,la Verneda i la Pau,Female,80-84,795
2016,3,Sants-Montjuïc,15,Hostafrancs,Male,45-49,577
2016,9,Sant Andreu,62,el Congrés i els Indians,Male,10-14,214
2015,7,Horta-Guinardó,33,el Baix Guinardó,Female,65-69,816
2015,10,Sant Martí,72,Sant Martí de Provençals,Male,60-64,649
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Male,70-74,493
2015,6,Gràcia,30,la Salut,Female,85-89,182
2017,1,Ciutat Vella,1,el Raval,Female,75-79,556
2017,4,Les Corts,21,Pedralbes,Female,75-79,277
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Male,0-4,115
2016,9,Sant Andreu,61,la Sagrera,Female,55-59,914
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Female,25-29,633
2013,9,Sant Andreu,61,la Sagrera,Female,70-74,699
2013,6,Gràcia,30,la Salut,Male,5-9,287
2014,8,Nou Barris,47,Can Peguera,Female,35-39,81
2013,7,Horta-Guinardó,34,Can Baró,Male,75-79,129
2016,8,Nou Barris,51,Verdun,Male,85-89,90
2014,7,Horta-Guinardó,36,la Font d'en Fargues,Female,35-39,293
2014,3,Sants-Montjuïc,17,Sants - Badal,Female,40-44,904
2014,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,0-4,199
2014,10,Sant Martí,68,el Poblenou,Female,15-19,540
2016,8,Nou Barris,56,Vallbona,Female,30-34,20
2016,3,Sants-Montjuïc,15,Hostafrancs,Female,90-94,99
2015,6,Gràcia,31,la Vila de Gràcia,Female,80-84,994
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,90-94,30
2014,2,Eixample,7,la Dreta de l'Eixample,Female,>=95,224
2017,7,Horta-Guinardó,38,la Teixonera,Female,30-34,289
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,0-4,634
2017,8,Nou Barris,48,la Guineueta,Female,60-64,483
2014,1,Ciutat Vella,2,el Barri Gòtic,Female,80-84,247
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,20-24,788
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,15-19,533
2015,10,Sant Martí,65,el Clot,Male,10-14,598
2015,8,Nou Barris,45,Porta,Male,30-34,779
2013,3,Sants-Montjuïc,15,Hostafrancs,Male,0-4,327
2015,10,Sant Martí,65,el Clot,Female,20-24,633
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,70-74,702
2017,6,Gràcia,29,el Coll,Male,35-39,313
2015,10,Sant Martí,64,el Camp de l'Arpa del Clot,Male,20-24,636
2015,9,Sant Andreu,57,la Trinitat Vella,Male,65-69,177
2017,9,Sant Andreu,63,Navas,Female,20-24,408
2016,9,Sant Andreu,61,la Sagrera,Male,90-94,80
2013,9,Sant Andreu,62,el Congrés i els Indians,Female,25-29,381
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,30-34,517
2016,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,40-44,1181
2015,8,Nou Barris,51,Verdun,Male,80-84,214
2016,7,Horta-Guinardó,40,Montbau,Male,0-4,86
2016,9,Sant Andreu,62,el Congrés i els Indians,Female,55-59,471
2017,10,Sant Martí,70,el Besòs i el Maresme,Male,70-74,341
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,65-69,24
2015,4,Les Corts,19,les Corts,Male,15-19,909
2016,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,40-44,1663
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,80-84,703
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,30-34,298
2015,8,Nou Barris,46,el Turó de la Peira,Male,50-54,575
2016,7,Horta-Guinardó,33,el Baix Guinardó,Male,60-64,668
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,80-84,341
2016,4,Les Corts,21,Pedralbes,Male,65-69,311
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,20-24,1231
2014,1,Ciutat Vella,2,el Barri Gòtic,Male,55-59,422
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,>=95,12
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,65-69,293
2016,8,Nou Barris,46,el Turó de la Peira,Male,10-14,271
2013,7,Horta-Guinardó,42,la Clota,Female,20-24,5
2017,8,Nou Barris,53,la Trinitat Nova,Female,60-64,167
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,90-94,17
2013,9,Sant Andreu,61,la Sagrera,Female,55-59,1175
2017,2,Eixample,10,Sant Antoni,Male,15-19,635
2013,9,Sant Andreu,61,la Sagrera,Male,70-74,540
2017,3,Sants-Montjuïc,17,Sants - Badal,Male,>=95,11
2014,4,Les Corts,20,la Maternitat i Sant Ramon,Male,55-59,693
2017,8,Nou Barris,56,Vallbona,Male,0-4,29
2014,8,Nou Barris,51,Verdun,Female,70-74,286
2013,10,Sant Martí,72,Sant Martí de Provençals,Female,30-34,931
2015,8,Nou Barris,54,Torre Baró,Male,>=95,0
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,>=95,48
