Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,75-79,575
2013,8,Nou Barris,49,Canyelles,Male,70-74,155
2017,10,Sant Martí,73,la Verneda i la Pau,Male,85-89,303
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,55-59,1371
2014,10,Sant Martí,72,Sant Martí de Provençals,Male,90-94,70
2013,2,Eixample,10,Sant Antoni,Male,85-89,362
2014,3,Sants-Montjuïc,13,la Marina de Port,Female,55-59,955
2017,9,Sant Andreu,59,el Bon Pastor,Male,75-79,192
2014,6,Gràcia,31,la Vila de Gràcia,Female,50-54,1648
2016,6,Gràcia,29,el Coll,Female,75-79,137
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,0-4,338
2013,4,Les Corts,21,Pedralbes,Female,20-24,289
2016,3,Sants-Montjuïc,13,la Marina de Port,Female,10-14,756
2014,7,Horta-Guinardó,33,el Baix Guinardó,Female,40-44,953
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,5-9,96
2015,9,Sant Andreu,59,el Bon Pastor,Male,70-74,237
2015,7,Horta-Guinardó,35,el Guinardó,Female,15-19,535
2017,10,Sant Martí,73,la Verneda i la Pau,Female,55-59,1054
2013,10,Sant Martí,72,Sant Martí de Provençals,Male,80-84,441
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,55-59,700
2013,8,Nou Barris,48,la Guineueta,Female,90-94,89
2016,8,Nou Barris,52,la Prosperitat,Male,5-9,595
2015,1,Ciutat Vella,3,la Barceloneta,Male,35-39,885
2017,3,Sants-Montjuïc,16,la Bordeta,Male,75-79,305
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Female,40-44,325
2014,10,Sant Martí,68,el Poblenou,Male,15-19,603
2013,8,Nou Barris,48,la Guineueta,Male,25-29,286
2016,1,Ciutat Vella,1,el Raval,Male,5-9,1087
2014,4,Les Corts,21,Pedralbes,Female,55-59,397
2014,7,Horta-Guinardó,42,la Clota,Male,45-49,20
2017,1,Ciutat Vella,2,el Barri Gòtic,Male,55-59,463
2013,3,Sants-Montjuïc,13,la Marina de Port,Female,20-24,798
2015,1,Ciutat Vella,1,el Raval,Male,65-69,711
2014,7,Horta-Guinardó,33,el Baix Guinardó,Male,65-69,490
2014,8,Nou Barris,55,Ciutat Meridiana,Female,45-49,298
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,25-29,109
2013,6,Gràcia,30,la Salut,Female,70-74,310
2017,3,Sants-Montjuïc,11,el Poble Sec,Male,60-64,895
2016,2,Eixample,6,la Sagrada Família,Female,70-74,1348
