Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2015,7,Horta-Guinardó,34,Can Baró,Male,50-54,312
2017,3,Sants-Montjuïc,11,el Poble Sec,Male,90-94,83
2017,10,Sant Martí,72,Sant Martí de Provençals,Female,60-64,821
2015,3,Sants-Montjuïc,15,Hostafrancs,Male,25-29,576
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Male,15-19,702
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,60-64,98
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,30-34,670
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Male,40-44,582
2013,8,Nou Barris,54,Torre Baró,Male,35-39,94
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,45-49,1085
2016,8,Nou Barris,56,Vallbona,Male,90-94,3
2013,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,45-49,186
2015,9,Sant Andreu,60,Sant Andreu,Male,15-19,1141
2013,7,Horta-Guinardó,38,la Teixonera,Male,30-34,490
2013,8,Nou Barris,56,Vallbona,Female,20-24,30
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,45-49,1607
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Female,0-4,499
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Male,40-44,1610
2015,7,Horta-Guinardó,33,el Baix Guinardó,Male,80-84,430
2015,7,Horta-Guinardó,38,la Teixonera,Female,65-69,369
2016,8,Nou Barris,54,Torre Baró,Male,20-24,65
2017,8,Nou Barris,52,la Prosperitat,Male,5-9,591
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,20-24,142
2014,10,Sant Martí,72,Sant Martí de Provençals,Male,40-44,1032
2017,10,Sant Martí,72,Sant Martí de Provençals,Male,15-19,557
2016,8,Nou Barris,56,Vallbona,Female,75-79,26
2013,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,0-4,445
2015,8,Nou Barris,48,la Guineueta,Female,75-79,387
2017,8,Nou Barris,50,les Roquetes,Male,45-49,597
2013,1,Ciutat Vella,3,la Barceloneta,Male,75-79,273
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,85-89,36
2016,3,Sants-Montjuïc,11,el Poble Sec,Male,90-94,62
2016,3,Sants-Montjuïc,15,Hostafrancs,Female,65-69,491
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,30-34,1535
2015,2,Eixample,10,Sant Antoni,Male,10-14,633
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,10-14,268
2017,3,Sants-Montjuïc,16,la Bordeta,Male,10-14,350
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,55-59,1239
2013,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,35-39,1218
2016,7,Horta-Guinardó,40,Montbau,Male,80-84,115
2014,8,Nou Barris,45,Porta,Male,0-4,482
2014,5,Sarrià-Sant Gervasi,23,Sarrià,Male,10-14,741
2014,9,Sant Andreu,63,Navas,Male,35-39,920
2014,8,Nou Barris,54,Torre Baró,Female,35-39,76
2013,7,Horta-Guinardó,36,la Font d'en Fargues,Female,55-59,272
2013,1,Ciutat Vella,2,el Barri Gòtic,Male,60-64,378
2015,8,Nou Barris,45,Porta,Male,35-39,1067
2017,9,Sant Andreu,57,la Trinitat Vella,Female,35-39,325
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,0-4,146
2013,3,Sants-Montjuïc,17,Sants - Badal,Female,70-74,518
2017,7,Horta-Guinardó,41,la Vall d'Hebron,Male,45-49,143
2015,10,Sant Martí,73,la Verneda i la Pau,Female,80-84,769
2017,9,Sant Andreu,61,la Sagrera,Female,50-54,1027
2014,7,Horta-Guinardó,38,la Teixonera,Male,20-24,214
2013,6,Gràcia,29,el Coll,Male,15-19,117
2017,7,Horta-Guinardó,36,la Font d'en Fargues,Male,30-34,248
2015,9,Sant Andreu,59,el Bon Pastor,Female,55-59,320
2015,8,Nou Barris,47,Can Peguera,Male,60-64,55
2014,2,Eixample,6,la Sagrada Família,Male,35-39,2258
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Female,85-89,391
2016,2,Eixample,6,la Sagrada Família,Male,55-59,1513
2015,3,Sants-Montjuïc,17,Sants - Badal,Male,0-4,378
2014,8,Nou Barris,49,Canyelles,Male,80-84,113
2013,9,Sant Andreu,62,el Congrés i els Indians,Female,75-79,469
2017,10,Sant Martí,73,la Verneda i la Pau,Male,80-84,435
2015,8,Nou Barris,45,Porta,Male,60-64,424
2015,6,Gràcia,29,el Coll,Female,20-24,162
2013,2,Eixample,10,Sant Antoni,Female,>=95,110
2017,2,Eixample,7,la Dreta de l'Eixample,Male,>=95,51
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,40-44,16
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,>=95,0
2016,2,Eixample,10,Sant Antoni,Female,>=95,137
