Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2016,8,Nou Barris,45,Porta,Male,65-69,606
2016,6,Gràcia,28,Vallcarca i els Penitents,Female,85-89,280
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,90-94,88
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,5-9,463
2015,3,Sants-Montjuïc,16,la Bordeta,Male,85-89,145
2013,8,Nou Barris,45,Porta,Male,70-74,525
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,80-84,182
2015,3,Sants-Montjuïc,13,la Marina de Port,Male,75-79,490
2015,6,Gràcia,28,Vallcarca i els Penitents,Female,35-39,622
2013,8,Nou Barris,55,Ciutat Meridiana,Male,50-54,272
2014,7,Horta-Guinardó,42,la Clota,Male,50-54,18
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Male,20-24,652
2015,8,Nou Barris,56,Vallbona,Male,40-44,44
2015,8,Nou Barris,46,el Turó de la Peira,Female,90-94,105
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,0-4,473
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,60-64,383
2016,7,Horta-Guinardó,40,Montbau,Male,60-64,59
2015,7,Horta-Guinardó,38,la Teixonera,Female,25-29,333
2014,1,Ciutat Vella,3,la Barceloneta,Male,15-19,229
2015,8,Nou Barris,46,el Turó de la Peira,Female,0-4,273
2016,8,Nou Barris,51,Verdun,Male,65-69,270
2017,6,Gràcia,28,Vallcarca i els Penitents,Male,35-39,603
2015,4,Les Corts,19,les Corts,Female,40-44,1656
2016,7,Horta-Guinardó,34,Can Baró,Female,80-84,224
2013,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Female,50-54,1018
2016,7,Horta-Guinardó,34,Can Baró,Male,55-59,186
2016,8,Nou Barris,49,Canyelles,Male,60-64,311
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,65-69,21
2015,3,Sants-Montjuïc,17,Sants - Badal,Female,>=95,49
2014,10,Sant Martí,73,la Verneda i la Pau,Male,55-59,807
2015,9,Sant Andreu,62,el Congrés i els Indians,Male,60-64,274
2017,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,30-34,2428
2016,7,Horta-Guinardó,42,la Clota,Male,70-74,3
2016,8,Nou Barris,53,la Trinitat Nova,Female,30-34,235
2015,10,Sant Martí,65,el Clot,Male,70-74,510
2015,4,Les Corts,19,les Corts,Female,90-94,372
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,45-49,1913
2015,10,Sant Martí,71,Provençals del Poblenou,Female,0-4,538
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,10-14,1252
2014,6,Gràcia,29,el Coll,Male,75-79,115
2016,8,Nou Barris,51,Verdun,Male,5-9,283
2015,10,Sant Martí,68,el Poblenou,Female,90-94,189
2017,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,70-74,200
2016,7,Horta-Guinardó,37,el Carmel,Male,40-44,1385
2015,7,Horta-Guinardó,40,Montbau,Female,>=95,24
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Female,20-24,1492
2013,2,Eixample,5,el Fort Pienc,Female,30-34,1422
2017,3,Sants-Montjuïc,11,el Poble Sec,Female,30-34,1981
2014,8,Nou Barris,52,la Prosperitat,Female,70-74,879
2016,3,Sants-Montjuïc,13,la Marina de Port,Female,25-29,862
2014,8,Nou Barris,46,el Turó de la Peira,Female,0-4,333
2014,4,Les Corts,19,les Corts,Female,50-54,1745
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Female,65-69,686
2016,8,Nou Barris,50,les Roquetes,Female,90-94,65
2013,10,Sant Martí,71,Provençals del Poblenou,Male,60-64,509
2017,3,Sants-Montjuïc,11,el Poble Sec,Male,75-79,488
2016,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,40-44,943
2015,7,Horta-Guinardó,35,el Guinardó,Male,>=95,27
2015,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,85-89,488
2017,10,Sant Martí,72,Sant Martí de Provençals,Female,5-9,529
2017,3,Sants-Montjuïc,11,el Poble Sec,Female,0-4,779
2015,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,90-94,77
2015,7,Horta-Guinardó,33,el Baix Guinardó,Female,40-44,760
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,55-59,543
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Male,0-4,740
2016,6,Gràcia,30,la Salut,Female,40-44,393
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,65-69,425
2015,9,Sant Andreu,59,el Bon Pastor,Male,>=95,1
2015,8,Nou Barris,48,la Guineueta,Male,>=95,5
2013,8,Nou Barris,48,la Guineueta,Male,30-34,377
2014,3,Sants-Montjuïc,18,Sants,Male,>=95,17
2017,6,Gràcia,28,Vallcarca i els Penitents,Female,35-39,480
