Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2015,7,Horta-Guinardó,34,Can Baró,Female,45-49,346
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,30-34,1677
2013,3,Sants-Montjuïc,15,Hostafrancs,Female,90-94,86
2016,1,Ciutat Vella,3,la Barceloneta,Female,>=95,45
2014,7,Horta-Guinardó,33,el Baix Guinardó,Female,30-34,1002
2014,8,Nou Barris,55,Ciutat Meridiana,Female,60-64,252
2017,6,Gràcia,31,la Vila de Gràcia,Female,50-54,1688
2016,7,Horta-Guinardó,41,la Vall d'Hebron,Male,55-59,216
2014,2,Eixample,10,Sant Antoni,Female,55-59,1276
2015,7,Horta-Guinardó,34,Can Baró,Female,35-39,325
2015,7,Horta-Guinardó,38,la Teixonera,Female,85-89,165
2017,9,Sant Andreu,63,Navas,Female,30-34,596
2016,9,Sant Andreu,63,Navas,Female,35-39,840
2015,3,Sants-Montjuïc,11,el Poble Sec,Female,10-14,683
2016,10,Sant Martí,73,la Verneda i la Pau,Male,65-69,817
2014,8,Nou Barris,52,la Prosperitat,Male,70-74,730
2016,1,Ciutat Vella,1,el Raval,Male,85-89,174
2014,8,Nou Barris,53,la Trinitat Nova,Male,85-89,51
2015,7,Horta-Guinardó,38,la Teixonera,Male,10-14,262
2015,9,Sant Andreu,63,Navas,Male,20-24,495
2015,6,Gràcia,31,la Vila de Gràcia,Male,70-74,802
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,10-14,336
2015,5,Sarrià-Sant Gervasi,23,Sarrià,Female,90-94,262
2017,4,Les Corts,21,Pedralbes,Male,15-19,341
2016,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,30-34,122
2014,6,Gràcia,28,Vallcarca i els Penitents,Female,65-69,507
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,30-34,201
2014,8,Nou Barris,47,Can Peguera,Male,30-34,80
2014,4,Les Corts,21,Pedralbes,Male,60-64,326
2016,8,Nou Barris,51,Verdun,Male,10-14,250
2014,4,Les Corts,20,la Maternitat i Sant Ramon,Female,15-19,453
2017,7,Horta-Guinardó,38,la Teixonera,Male,70-74,253
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,50-54,141
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,15-19,104
2017,9,Sant Andreu,63,Navas,Male,50-54,794
2017,6,Gràcia,29,el Coll,Female,10-14,155
2016,2,Eixample,9,la Nova Esquerra de l'Eixample,Male,15-19,1024
2016,4,Les Corts,21,Pedralbes,Male,85-89,133
