Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2014,8,Nou Barris,51,Verdun,Male,20-24,262
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,25-29,1390
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Female,0-4,642
2017,6,Gràcia,28,Vallcarca i els Penitents,Male,50-54,521
2013,8,Nou Barris,46,el Turó de la Peira,Male,5-9,340
2013,1,Ciutat Vella,1,el Raval,Female,35-39,2155
2016,9,Sant Andreu,62,el Congrés i els Indians,Male,80-84,225
2016,10,Sant Martí,68,el Poblenou,Female,85-89,493
2017,1,Ciutat Vella,3,la Barceloneta,Male,80-84,196
2016,7,Horta-Guinardó,38,la Teixonera,Male,45-49,467
2015,8,Nou Barris,48,la Guineueta,Female,55-59,421
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,0-4,484
2014,3,Sants-Montjuïc,18,Sants,Female,60-64,1243
2017,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,>=95,11
2016,8,Nou Barris,46,el Turó de la Peira,Female,60-64,345
2014,10,Sant Martí,72,Sant Martí de Provençals,Male,60-64,676
2013,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,10-14,278
2013,7,Horta-Guinardó,40,Montbau,Female,20-24,78
2017,1,Ciutat Vella,3,la Barceloneta,Female,30-34,826
2017,8,Nou Barris,54,Torre Baró,Female,60-64,63
2016,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,15-19,249
2016,9,Sant Andreu,59,el Bon Pastor,Female,40-44,655
2015,8,Nou Barris,55,Ciutat Meridiana,Female,65-69,311
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,0-4,135
2017,7,Horta-Guinardó,42,la Clota,Female,5-9,5
2014,9,Sant Andreu,59,el Bon Pastor,Female,30-34,354
2013,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,50-54,436
2016,7,Horta-Guinardó,35,el Guinardó,Female,70-74,1007
2015,7,Horta-Guinardó,37,el Carmel,Male,25-29,709
2015,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,20-24,80
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,75-79,162
2015,6,Gràcia,29,el Coll,Female,60-64,188
2013,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,25-29,644
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,20-24,151
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,80-84,282
2015,8,Nou Barris,52,la Prosperitat,Female,45-49,785
2015,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,0-4,502
2017,9,Sant Andreu,62,el Congrés i els Indians,Male,75-79,195
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,30-34,386
2017,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,65-69,12
2015,7,Horta-Guinardó,40,Montbau,Male,60-64,55
2016,8,Nou Barris,51,Verdun,Male,35-39,379
2013,4,Les Corts,21,Pedralbes,Male,85-89,114
2014,9,Sant Andreu,63,Navas,Male,80-84,347
2014,8,Nou Barris,47,Can Peguera,Female,75-79,59
2016,7,Horta-Guinardó,42,la Clota,Male,80-84,5
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,60-64,724
2016,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,15-19,156
2016,10,Sant Martí,68,el Poblenou,Female,5-9,900
2015,3,Sants-Montjuïc,13,la Marina de Port,Female,45-49,1235
2014,3,Sants-Montjuïc,16,la Bordeta,Female,70-74,424
2013,4,Les Corts,19,les Corts,Female,60-64,1837
2017,9,Sant Andreu,61,la Sagrera,Male,60-64,920
2017,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Female,70-74,1109
2014,8,Nou Barris,50,les Roquetes,Female,65-69,455
2013,9,Sant Andreu,57,la Trinitat Vella,Male,90-94,6
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,50-54,1364
2017,3,Sants-Montjuïc,13,la Marina de Port,Male,90-94,64
2017,3,Sants-Montjuïc,13,la Marina de Port,Male,30-34,946
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,25-29,1278
2016,10,Sant Martí,72,Sant Martí de Provençals,Male,90-94,57
2017,3,Sants-Montjuïc,15,Hostafrancs,Male,10-14,268
2016,8,Nou Barris,47,Can Peguera,Female,20-24,68
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,45-49,215
2016,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,30-34,51
2015,8,Nou Barris,56,Vallbona,Male,50-54,14
2014,10,Sant Martí,73,la Verneda i la Pau,Male,>=95,14
2015,1,Ciutat Vella,1,el Raval,Male,>=95,10
