Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Male,55-59,704
2015,3,Sants-Montjuïc,16,la Bordeta,Female,90-94,136
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Female,55-59,185
2016,4,Les Corts,21,Pedralbes,Male,5-9,337
2016,8,Nou Barris,53,la Trinitat Nova,Male,30-34,242
2013,8,Nou Barris,45,Porta,Male,55-59,571
2016,6,Gràcia,31,la Vila de Gràcia,Male,90-94,144
2016,7,Horta-Guinardó,34,Can Baró,Male,90-94,30
2016,5,Sarrià-Sant Gervasi,24,les Tres Torres,Female,10-14,488
2017,9,Sant Andreu,61,la Sagrera,Female,0-4,579
2017,2,Eixample,10,Sant Antoni,Female,90-94,415
2016,8,Nou Barris,48,la Guineueta,Female,25-29,273
2014,10,Sant Martí,70,el Besòs i el Maresme,Female,35-39,791
2014,10,Sant Martí,73,la Verneda i la Pau,Female,30-34,914
2017,3,Sants-Montjuïc,18,Sants,Male,70-74,846
2014,6,Gràcia,31,la Vila de Gràcia,Female,0-4,1007
2014,9,Sant Andreu,60,Sant Andreu,Male,90-94,126
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Male,50-54,840
2017,8,Nou Barris,50,les Roquetes,Female,40-44,613
2013,8,Nou Barris,48,la Guineueta,Female,30-34,387
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,50-54,473
2013,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Male,75-79,542
2014,1,Ciutat Vella,3,la Barceloneta,Female,75-79,389
2017,4,Les Corts,19,les Corts,Female,20-24,1049
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,60-64,145
2015,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,20-24,765
2014,1,Ciutat Vella,3,la Barceloneta,Female,10-14,192
2015,10,Sant Martí,65,el Clot,Female,35-39,1044
2014,2,Eixample,6,la Sagrada Família,Male,90-94,140
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,70-74,97
2015,7,Horta-Guinardó,42,la Clota,Male,30-34,24
2014,2,Eixample,10,Sant Antoni,Male,10-14,626
2015,2,Eixample,5,el Fort Pienc,Male,30-34,1374
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,45-49,228
2016,8,Nou Barris,46,el Turó de la Peira,Female,45-49,572
2013,4,Les Corts,20,la Maternitat i Sant Ramon,Male,50-54,669
2016,6,Gràcia,30,la Salut,Female,30-34,531
2017,4,Les Corts,19,les Corts,Female,15-19,815
2013,3,Sants-Montjuïc,14,la Font de la Guatlla,Female,20-24,195
2016,4,Les Corts,20,la Maternitat i Sant Ramon,Female,40-44,711
2013,10,Sant Martí,65,el Clot,Female,30-34,1035
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Male,20-24,391
2017,6,Gràcia,30,la Salut,Male,55-59,359
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,40-44,1223
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,15-19,702
2017,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,70-74,1154
2017,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,75-79,251
2015,7,Horta-Guinardó,37,el Carmel,Female,75-79,815
2013,8,Nou Barris,48,la Guineueta,Male,0-4,233
2017,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Male,10-14,777
2013,1,Ciutat Vella,2,el Barri Gòtic,Female,40-44,592
2016,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,Male,90-94,90
2014,2,Eixample,6,la Sagrada Família,Female,0-4,866
2016,7,Horta-Guinardó,37,el Carmel,Female,65-69,1047
2015,2,Eixample,10,Sant Antoni,Male,70-74,761
2017,3,Sants-Montjuïc,11,el Poble Sec,Male,70-74,666
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,20-24,619
2014,8,Nou Barris,46,el Turó de la Peira,Male,70-74,203
2016,3,Sants-Montjuïc,18,Sants,Male,0-4,711
2015,10,Sant Martí,68,el Poblenou,Male,20-24,498
2014,7,Horta-Guinardó,34,Can Baró,Female,55-59,299
2017,8,Nou Barris,51,Verdun,Female,70-74,377
2014,3,Sants-Montjuïc,18,Sants,Male,15-19,737
2015,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,0-4,325
2017,4,Les Corts,21,Pedralbes,Female,25-29,298
2017,3,Sants-Montjuïc,17,Sants - Badal,Female,20-24,598
2014,9,Sant Andreu,60,Sant Andreu,Female,65-69,1837
2014,10,Sant Martí,72,Sant Martí de Provençals,Male,>=95,15
2017,9,Sant Andreu,58,Baró de Viver,Male,30-34,97
2014,7,Horta-Guinardó,40,Montbau,Female,85-89,175
2014,7,Horta-Guinardó,43,Horta,Female,0-4,421
2014,9,Sant Andreu,58,Baró de Viver,Female,5-9,57
2013,7,Horta-Guinardó,43,Horta,Female,90-94,163
2017,8,Nou Barris,45,Porta,Male,>=95,16
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,30-34,454
2013,8,Nou Barris,46,el Turó de la Peira,Male,15-19,284
