Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2016,3,Sants-Montjuïc,15,Hostafrancs,Male,70-74,315
2016,8,Nou Barris,47,Can Peguera,Female,70-74,56
2016,10,Sant Martí,71,Provençals del Poblenou,Male,25-29,608
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,35-39,1464
2014,8,Nou Barris,50,les Roquetes,Male,50-54,458
2014,10,Sant Martí,72,Sant Martí de Provençals,Male,80-84,448
2014,8,Nou Barris,55,Ciutat Meridiana,Female,70-74,279
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,90-94,3
2017,10,Sant Martí,72,Sant Martí de Provençals,Male,90-94,84
2017,3,Sants-Montjuïc,18,Sants,Male,5-9,784
2013,8,Nou Barris,49,Canyelles,Female,0-4,123
2016,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,90-94,9
2017,8,Nou Barris,50,les Roquetes,Male,70-74,358
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,85-89,224
2014,8,Nou Barris,55,Ciutat Meridiana,Male,15-19,200
2014,4,Les Corts,21,Pedralbes,Female,5-9,290
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Male,85-89,44
2017,3,Sants-Montjuïc,14,la Font de la Guatlla,Male,35-39,465
2013,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Female,25-29,1424
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,5-9,1209
2013,10,Sant Martí,71,Provençals del Poblenou,Male,40-44,845
2017,10,Sant Martí,67,la Vila Olímpica del Poblenou,Female,10-14,244
2017,3,Sants-Montjuïc,11,el Poble Sec,Female,70-74,814
2015,7,Horta-Guinardó,43,Horta,Female,65-69,755
2013,8,Nou Barris,53,la Trinitat Nova,Male,15-19,189
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Male,20-24,94
2017,3,Sants-Montjuïc,11,el Poble Sec,Male,85-89,283
2017,3,Sants-Montjuïc,15,Hostafrancs,Female,30-34,784
2017,6,Gràcia,29,el Coll,Female,75-79,178
2015,9,Sant Andreu,62,el Congrés i els Indians,Male,25-29,333
2015,10,Sant Martí,71,Provençals del Poblenou,Male,55-59,618
2015,10,Sant Martí,71,Provençals del Poblenou,Male,90-94,48
2017,8,Nou Barris,49,Canyelles,Male,50-54,213
2015,1,Ciutat Vella,1,el Raval,Male,55-59,1212
2015,7,Horta-Guinardó,41,la Vall d'Hebron,Female,75-79,127
2013,1,Ciutat Vella,3,la Barceloneta,Male,85-89,102
2013,8,Nou Barris,50,les Roquetes,Male,20-24,470
2016,8,Nou Barris,48,la Guineueta,Female,70-74,597
2014,7,Horta-Guinardó,41,la Vall d'Hebron,Female,70-74,163
2016,6,Gràcia,31,la Vila de Gràcia,Female,60-64,1369
2016,6,Gràcia,29,el Coll,Male,80-84,87
2015,8,Nou Barris,53,la Trinitat Nova,Male,20-24,151
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,25-29,726
2016,8,Nou Barris,49,Canyelles,Male,90-94,15
2014,7,Horta-Guinardó,34,Can Baró,Male,15-19,145
2016,9,Sant Andreu,57,la Trinitat Vella,Male,85-89,57
2014,3,Sants-Montjuïc,17,Sants - Badal,Female,45-49,907
2015,7,Horta-Guinardó,36,la Font d'en Fargues,Male,65-69,327
2014,3,Sants-Montjuïc,13,la Marina de Port,Female,40-44,1235
2017,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,0-4,999
2017,8,Nou Barris,53,la Trinitat Nova,Male,35-39,271
2016,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,Male,30-34,1307
2016,5,Sarrià-Sant Gervasi,23,Sarrià,Female,35-39,917
2015,7,Horta-Guinardó,39,Sant Genís dels Agudells,Female,75-79,269
2015,9,Sant Andreu,59,el Bon Pastor,Female,80-84,195
2013,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Male,50-54,40
2017,1,Ciutat Vella,2,el Barri Gòtic,Female,0-4,225
2015,2,Eixample,7,la Dreta de l'Eixample,Female,30-34,1944
2016,3,Sants-Montjuïc,16,la Bordeta,Male,90-94,53
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,25-29,287
2013,7,Horta-Guinardó,41,la Vall d'Hebron,Female,80-84,69
2017,2,Eixample,10,Sant Antoni,Male,45-49,1135
2016,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,0-4,478
2014,10,Sant Martí,72,Sant Martí de Provençals,Female,60-64,597
2016,8,Nou Barris,47,Can Peguera,Male,65-69,42
2013,3,Sants-Montjuïc,16,la Bordeta,Female,10-14,240
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,80-84,351
2013,3,Sants-Montjuïc,13,la Marina de Port,Male,90-94,55
2017,4,Les Corts,20,la Maternitat i Sant Ramon,Female,25-29,790
2015,6,Gràcia,31,la Vila de Gràcia,Female,65-69,1298
2014,7,Horta-Guinardó,43,Horta,Female,>=95,71
2014,8,Nou Barris,56,Vallbona,Male,0-4,15
