Year,District_Code,District_Name,Neighborhood_Code,Neighborhood_Name,Gender,Age,Number
2017,2,Eixample,7,la Dreta de l'Eixample,Female,55-59,1572
2016,8,Nou Barris,44,Vilapicina i la Torre Llobeta,Female,85-89,503
2015,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,Female,60-64,603
2015,1,Ciutat Vella,1,el Raval,Female,15-19,832
2014,10,Sant Martí,71,Provençals del Poblenou,Female,65-69,500
2016,9,Sant Andreu,63,Navas,Female,50-54,870
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Male,85-89,199
2016,8,Nou Barris,47,Can Peguera,Female,80-84,63
2013,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,55-59,174
2017,8,Nou Barris,51,Verdun,Male,0-4,282
2015,9,Sant Andreu,63,Navas,Female,30-34,757
2016,8,Nou Barris,52,la Prosperitat,Female,5-9,579
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Male,70-74,258
2014,8,Nou Barris,47,Can Peguera,Male,15-19,45
2014,10,Sant Martí,72,Sant Martí de Provençals,Male,25-29,680
2014,8,Nou Barris,52,la Prosperitat,Male,65-69,743
2015,2,Eixample,8,l'Antiga Esquerra de l'Eixample,Male,55-59,1218
2013,6,Gràcia,29,el Coll,Male,25-29,196
2016,2,Eixample,7,la Dreta de l'Eixample,Female,10-14,807
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Male,85-89,31
2017,3,Sants-Montjuïc,15,Hostafrancs,Female,5-9,268
2015,2,Eixample,5,el Fort Pienc,Male,5-9,662
2015,8,Nou Barris,50,les Roquetes,Male,90-94,23
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Female,55-59,527
2014,8,Nou Barris,48,la Guineueta,Female,75-79,564
2015,5,Sarrià-Sant Gervasi,24,les Tres Torres,Male,90-94,57
2015,3,Sants-Montjuïc,13,la Marina de Port,Male,0-4,686
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Male,25-29,1090
2013,8,Nou Barris,56,Vallbona,Female,65-69,16
2015,3,Sants-Montjuïc,12,la Marina del Prat Vermell,Female,5-9,13
2013,10,Sant Martí,71,Provençals del Poblenou,Male,45-49,632
2017,7,Horta-Guinardó,34,Can Baró,Female,80-84,218
2013,7,Horta-Guinardó,33,el Baix Guinardó,Female,5-9,323
2013,4,Les Corts,21,Pedralbes,Male,50-54,346
2013,7,Horta-Guinardó,33,el Baix Guinardó,Female,65-69,678
2016,10,Sant Martí,72,Sant Martí de Provençals,Female,70-74,928
2017,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,70-74,569
2017,9,Sant Andreu,62,el Congrés i els Indians,Female,90-94,167
2016,10,Sant Martí,64,el Camp de l'Arpa del Clot,Female,50-54,1408
2014,4,Les Corts,19,les Corts,Male,10-14,879
2016,2,Eixample,10,Sant Antoni,Female,25-29,1306
2014,2,Eixample,5,el Fort Pienc,Male,0-4,659
2017,5,Sarrià-Sant Gervasi,23,Sarrià,Female,25-29,662
2016,3,Sants-Montjuïc,18,Sants,Female,30-34,1808
2014,7,Horta-Guinardó,33,el Baix Guinardó,Male,75-79,461
2016,1,Ciutat Vella,2,el Barri Gòtic,Female,5-9,164
2014,8,Nou Barris,48,la Guineueta,Male,90-94,50
2014,7,Horta-Guinardó,38,la Teixonera,Female,75-79,298
2017,10,Sant Martí,68,el Poblenou,Male,85-89,271
2017,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",Female,85-89,26
2017,9,Sant Andreu,62,el Congrés i els Indians,Female,30-34,477
2017,3,Sants-Montjuïc,16,la Bordeta,Female,35-39,402
2017,9,Sant Andreu,61,la Sagrera,Female,65-69,1060
2015,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,Male,10-14,668
2015,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,Male,>=95,6
2014,1,Ciutat Vella,1,el Raval,Male,15-19,1026
2014,9,Sant Andreu,63,Navas,Female,45-49,658
2013,7,Horta-Guinardó,33,el Baix Guinardó,Female,70-74,627
2017,8,Nou Barris,51,Verdun,Male,65-69,268
2016,2,Eixample,10,Sant Antoni,Male,80-84,546
2015,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,15-19,251
2014,6,Gràcia,30,la Salut,Female,85-89,234
2013,10,Sant Martí,67,la Vila Olímpica del Poblenou,Male,>=95,2
2017,6,Gràcia,31,la Vila de Gràcia,Male,25-29,1736
2015,10,Sant Martí,72,Sant Martí de Provençals,Male,70-74,686
2013,7,Horta-Guinardó,38,la Teixonera,Male,5-9,260
2013,10,Sant Martí,64,el Camp de l'Arpa del Clot,Male,70-74,676
2013,6,Gràcia,30,la Salut,Male,70-74,196
2013,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,Female,85-89,106
2016,7,Horta-Guinardó,39,Sant Genís dels Agudells,Male,10-14,140
2014,6,Gràcia,30,la Salut,Male,85-89,95
2013,3,Sants-Montjuïc,11,el Poble Sec,Female,0-4,841
2016,6,Gràcia,28,Vallcarca i els Penitents,Male,65-69,153
2013,8,Nou Barris,51,Verdun,Male,5-9,259
2017,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",Female,10-14,331
2013,10,Sant Martí,71,Provençals del Poblenou,Female,80-84,394
2015,7,Horta-Guinardó,38,la Teixonera,Male,50-54,387
2017,1,Ciutat Vella,3,la Barceloneta,Male,>=95,7
