Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S006098,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Llevant / Diagonal,Thursday,July,13,12,Morning,1,0,1,2,2.219305,41.411328
2017S004254,Gràcia,Vallcarca i els Penitents,Mare de Déu del Coll,Saturday,May,13,11,Morning,1,0,1,1,2.148755,41.409938
2017S005336,Gràcia,la Salut,Santuari St Josep Muntanya,Sunday,June,18,14,Afternoon,0,0,0,1,2.154671,41.410044
2017S008234,Sant Andreu,el Bon Pastor,Monterrey,Thursday,October,5,17,Afternoon,1,0,1,2,2.206013,41.443445
2017S010166,Sant Martí,el Parc i la Llacuna del Poblenou,Meridiana / Castillejos,Tuesday,December,5,18,Afternoon,1,0,1,1,2.186951,41.399893
2017S005495,Eixample,la Sagrada Família,Lepant / Enamorats,Friday,June,23,12,Morning,1,0,1,2,2.18026,41.401742
2017S005832,Eixample,la Dreta de l'Eixample,Roger de Llúria / Aragó,Wednesday,July,5,8,Morning,1,0,1,2,2.167508,41.39414
2017S005383,Eixample,la Dreta de l'Eixample,Sant Joan / Provença,Monday,June,19,18,Afternoon,2,0,2,2,2.168634,41.400116
2017S007457,Eixample,la Dreta de l'Eixample,Consell de Cent,Thursday,September,7,17,Afternoon,1,0,1,2,2.163678,41.389711
2017S009716,Sant Andreu,el Bon Pastor,República Dominicana,Wednesday,November,22,16,Afternoon,2,0,2,2,2.197399,41.440576
2017S000258,Sant Martí,Provençals del Poblenou,CTRA C-31,Wednesday,January,11,14,Afternoon,1,0,1,2,2.203262,41.415467
2017S005944,Eixample,Sant Antoni,Sepúlveda,Friday,July,7,21,Afternoon,1,0,1,2,2.162463,41.383036
2017S009524,Sants-Montjuïc,la Marina de Port,Ildefons Cerdà / Corts Catalanes,Thursday,November,16,20,Afternoon,1,0,1,1,2.134649,41.364176
2017S005337,Sants-Montjuïc,la Bordeta,Badal,Sunday,June,18,17,Afternoon,1,0,1,2,2.132561,41.370726
2017S003975,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Isaac Newton,Friday,May,5,7,Morning,1,0,1,2,2.129408,41.412197
2017S007495,Sant Andreu,Navas,Meridiana,Saturday,September,9,5,Night,1,0,1,2,2.187229,41.419759
2017S006679,Sant Martí,el Poblenou,Diagonal / Pere IV,Wednesday,August,2,9,Morning,1,0,1,2,2.200672,41.406603
2017S004480,Ciutat Vella,la Barceloneta,Salvador Espriu / Ramon Trias Fargas,Saturday,May,20,21,Afternoon,1,0,1,2,2.194805,41.387167
2017S004258,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes / Comte Borrell,Saturday,May,13,13,Morning,1,0,1,1,2.157427,41.381284
2017S009994,Eixample,la Sagrada Família,Còrsega / Marina,Thursday,November,30,16,Afternoon,1,0,1,1,2.172194,41.406221
2017S010314,Sants-Montjuïc,la Bordeta,Badal / Constitució,Wednesday,December,13,18,Afternoon,2,0,2,2,2.132916,41.368935
2017S004143,Sarrià-Sant Gervasi,"Vallvidrera, el Tibidabo i les Planes",Major del Rectoret,Tuesday,May,9,20,Afternoon,2,0,2,2,2.095693,41.425091
2017S007824,Ciutat Vella,el Raval,Drassanes / Josep Carner,Thursday,September,21,15,Afternoon,1,0,1,2,2.176656,41.374429
2017S003917,Eixample,la Nova Esquerra de l'Eixample,Corts Catalanes,Tuesday,May,2,17,Afternoon,1,0,1,2,2.155146,41.37922
2017S009132,Eixample,Sant Antoni,Sepúlveda / Calàbria,Saturday,November,4,23,Night,3,0,3,2,2.156427,41.378622
2017S001540,Eixample,la Dreta de l'Eixample,ARAGÓ / Pau Claris,Friday,February,24,16,Afternoon,1,0,1,2,2.166376,41.393276
2017S003192,Eixample,l'Antiga Esquerra de l'Eixample,Comte d'Urgell / París,Thursday,April,6,15,Afternoon,1,0,1,2,2.148272,41.389882
2017S009932,Eixample,el Fort Pienc,Corts Catalanes / Lepant,Wednesday,November,29,4,Night,1,0,1,2,2.182427,41.40007
2017S009668,Sants-Montjuïc,la Marina del Prat Vermell,Litoral (Besòs),Tuesday,November,21,13,Morning,1,0,1,3,2.131,41.34324
2017S000895,Les Corts,les Corts,AV DIAGONAL / Pl Rna M Cristina,Thursday,February,2,12,Morning,1,0,1,2,2.128211,41.388399
2017S010498,Les Corts,Pedralbes,B-20 (Besòs),Tuesday,December,19,14,Afternoon,0,0,0,4,2.104355,41.385145
2017S005870,Horta-Guinardó,la Vall d'Hebron,Can Marcet,Wednesday,July,5,16,Afternoon,1,0,1,2,2.149702,41.434296
2017S001372,Sant Martí,el Parc i la Llacuna del Poblenou,SARDENYA,Saturday,February,18,18,Afternoon,1,0,1,2,2.188734,41.391602
2017S010043,Eixample,l'Antiga Esquerra de l'Eixample,Aragó,Friday,December,1,16,Afternoon,1,0,1,3,2.161481,41.389407
2017S006420,Eixample,la Dreta de l'Eixample,Catalunya,Saturday,July,22,21,Afternoon,1,0,1,1,2.166075,41.38896
2017S001745,Eixample,el Fort Pienc,CASP / Roger de Flor,Friday,March,3,11,Morning,2,0,2,2,2.17797,41.394788
2017S010720,Horta-Guinardó,la Vall d'Hebron,Berruguete / Vall d'Hebron,Thursday,December,28,8,Morning,1,0,1,1,2.146579,41.433867
2017S002257,Horta-Guinardó,el Baix Guinardó,RDA GUINARDÓ / Lepant,Tuesday,March,21,8,Morning,2,0,2,3,2.166491,41.412153
2017S005474,Sant Martí,el Poblenou,Diagonal,Thursday,June,22,18,Afternoon,1,0,1,1,2.195812,41.405776
2017S006572,Ciutat Vella,el Barri Gòtic,Colom / Portal de la Pau,Friday,July,28,13,Morning,1,0,1,2,2.178021,41.376113
2017S003366,Eixample,l'Antiga Esquerra de l'Eixample,Aribau / Diagonal,Thursday,April,13,15,Afternoon,1,0,1,2,2.151307,41.394459
2017S000505,Les Corts,la Maternitat i Sant Ramon,AV A BASTARDAS,Thursday,January,19,8,Morning,1,0,1,2,2.107914,41.380805
2017S000648,Horta-Guinardó,el Guinardó,RDA GUINARDÓ / Pg Maragall,Tuesday,January,24,19,Afternoon,1,0,1,1,2.177514,41.423817
2017S010136,Nou Barris,les Roquetes,Favència / Almansa,Tuesday,December,5,9,Morning,1,0,1,2,2.17413,41.444434
2017S000163,Nou Barris,Vilapicina i la Torre Llobeta,PG FABRA I PUIG / Vèlia,Saturday,January,7,23,Night,1,0,1,2,2.18082,41.430218
2017S008121,Sant Andreu,Sant Andreu,Favència / Ribes,Monday,October,2,14,Afternoon,1,0,1,2,2.189605,41.446954
2017S003339,Eixample,la Nova Esquerra de l'Eixample,Aragó / Viladomat,Wednesday,April,12,16,Afternoon,1,0,1,2,2.152804,41.383075
2017S008325,Eixample,la Dreta de l'Eixample,Roger de Llúria / Rosselló,Monday,October,9,16,Afternoon,1,0,1,2,2.163111,41.397455
2017S000514,Eixample,el Fort Pienc,GV CORTS CATALANES,Thursday,January,19,15,Afternoon,1,0,1,2,2.180096,41.398631
2017S010562,Sants-Montjuïc,Sants,Riera de Tena,Thursday,December,21,13,Morning,1,0,1,1,2.133573,41.372384
2017S010701,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,B-20 (Besòs),Wednesday,December,27,18,Afternoon,1,0,1,2,2.126969,41.411103
2017S008501,Nou Barris,Canyelles,B-20 (Llobregat),Monday,October,16,10,Morning,3,0,3,2,2.161922,41.439905
