Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S006914,Sant Martí,el Besòs i el Maresme,Prim / Pujades,Friday,August,11,15,Afternoon,1,0,1,2,2.216424,41.413489
2017S003212,Ciutat Vella,el Raval,Pelai,Wednesday,April,5,20,Afternoon,2,0,2,1,2.169344,41.385405
2017S007549,Sant Andreu,la Sagrera,Gran de la Sagrera,Tuesday,September,12,9,Morning,2,0,2,2,2.191243,41.423171
2017S001787,Eixample,la Dreta de l'Eixample,PROVENÇA / Roger de Flor,Saturday,March,4,13,Morning,0,0,0,1,2.169789,41.400976
2017S007040,Eixample,la Dreta de l'Eixample,Sant Joan,Thursday,August,17,16,Afternoon,1,0,1,2,2.178406,41.392395
2017S004028,Eixample,la Dreta de l'Eixample,Casp / Pau Claris,Saturday,May,6,17,Afternoon,1,0,1,2,2.171146,41.389691
2017S006258,Sants-Montjuïc,la Font de la Guatlla,Corts Catalanes / Sant Roc,Tuesday,July,18,10,Morning,1,0,1,3,2.146167,41.372857
2017S006625,Sants-Montjuïc,Sants - Badal,Madrid / Carles III,Sunday,July,30,16,Afternoon,1,0,1,2,2.129084,41.379363
2017S001160,Les Corts,la Maternitat i Sant Ramon,COLLBLANC,Saturday,February,11,12,Morning,1,0,1,1,2.117648,41.375881
2017S001042,Les Corts,les Corts,AV DIAGONAL / Av Sarrià,Wednesday,February,8,8,Morning,1,0,1,3,2.138825,41.391215
2017S001656,Nou Barris,la Prosperitat,FLOR DE NEU,Tuesday,February,28,16,Afternoon,0,0,0,1,2.184439,41.444662
2017S009745,Eixample,la Sagrada Família,Aragó / Cartagena,Thursday,November,23,17,Afternoon,1,0,1,2,2.182219,41.405191
2017S009953,Eixample,la Dreta de l'Eixample,Nàpols / Provença,Wednesday,November,29,15,Afternoon,1,0,1,1,2.170933,41.401797
2017S009557,Eixample,l'Antiga Esquerra de l'Eixample,Provença / Villarroel,Friday,November,17,15,Afternoon,1,0,1,1,2.152811,41.38818
2017S007835,Sants-Montjuïc,Sants - Badal,Brasil / Roger,Thursday,September,21,20,Afternoon,1,0,1,2,2.129619,41.377885
2017S009884,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,General Mitre,Monday,November,27,18,Afternoon,1,0,1,3,2.139043,41.403407
2017S006698,Sarrià-Sant Gervasi,el Putxet i el Farró,Saragossa / Guillem Tell,Wednesday,August,2,16,Afternoon,2,0,2,2,2.148558,41.402448
2017S000192,Gràcia,la Vila de Gràcia,TORRENT DE L'OLLA,Monday,January,9,13,Morning,1,0,1,3,2.152011,41.406837
2017S001073,Nou Barris,la Trinitat Nova,RDA DALT (BESÒS),Wednesday,February,8,15,Afternoon,1,0,1,3,2.181684,41.446499
2017S005825,Ciutat Vella,el Barri Gòtic,Colom / Portal de la Pau,Tuesday,July,4,21,Afternoon,1,0,1,1,2.178021,41.376113
2017S005479,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Picasso,Thursday,June,22,17,Afternoon,1,0,1,2,2.185272,41.38572
2017S006823,Ciutat Vella,la Barceloneta,B-10 (Besòs),Monday,August,7,18,Afternoon,3,0,3,4,2.18981,41.383749
2017S004284,Eixample,la Nova Esquerra de l'Eixample,València / Calàbria,Sunday,May,14,13,Morning,2,0,2,2,2.150545,41.383079
