Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S003291,Eixample,la Dreta de l'Eixample,Diagonal / Pau Claris,Monday,April,10,14,Afternoon,1,0,1,2,2.161465,41.397016
2017S008335,Eixample,l'Antiga Esquerra de l'Eixample,Consell de Cent / Aribau,Monday,October,9,20,Afternoon,1,0,1,2,2.160726,41.387335
2017S010477,Les Corts,Pedralbes,Dalt (Llobregat),Monday,December,18,21,Afternoon,4,0,4,3,2.107636,41.390569
2017S003926,Eixample,la Dreta de l'Eixample,València / Roger de Llúria,Wednesday,May,3,17,Afternoon,1,0,1,2,2.166369,41.394987
2017S006619,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Valero,Saturday,July,29,20,Afternoon,0,0,0,2,2.138171,41.396286
2017S009275,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Tenor Viñas,Thursday,November,9,18,Afternoon,1,0,1,3,2.142195,41.395142
2017S001927,Sant Martí,el Camp de l'Arpa del Clot,VALÈNCIA,Thursday,March,9,13,Morning,2,0,2,4,2.184359,41.408621
2017S008308,Sant Martí,Sant Martí de Provençals,Fluvià,Sunday,October,8,18,Afternoon,1,0,1,1,2.193949,41.41697
2017S010293,Eixample,la Nova Esquerra de l'Eixample,París,Tuesday,December,12,20,Afternoon,1,0,1,3,2.144317,41.387054
2017S010174,Eixample,l'Antiga Esquerra de l'Eixample,Balmes,Tuesday,December,5,21,Afternoon,1,0,1,2,2.155371,41.394682
2017S004069,Sants-Montjuïc,la Marina del Prat Vermell,Parc Logístic / carrer numero 2,Monday,May,8,14,Afternoon,0,1,1,3,2.129245,41.342417
2017S004953,Horta-Guinardó,la Teixonera,Santa Rosalia,Tuesday,June,6,15,Afternoon,1,0,1,2,2.146666,41.421664
2017S007500,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Diagonal,Saturday,September,9,13,Morning,3,0,3,1,2.216406,41.410429
2017S010054,Ciutat Vella,el Barri Gòtic,Catalunya,Friday,December,1,16,Afternoon,0,0,0,2,2.171002,41.386247
2017S003633,Ciutat Vella,el Barri Gòtic,Litoral (Llobregat),Sunday,April,23,18,Afternoon,1,0,1,2,2.2018,41.392004
2017S001889,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",RDA LITORAL(LLOBRE,Wednesday,March,8,10,Morning,2,0,2,3,2.184848,41.381601
2017S001791,Eixample,la Dreta de l'Eixample,ARAGÓ / Rbla Catalunya,Saturday,March,4,13,Morning,1,0,1,2,2.163448,41.391077
2017S002430,Eixample,el Fort Pienc,PG SANT JOAN,Sunday,March,26,18,Afternoon,1,0,1,1,2.179869,41.391959
2017S008274,Sants-Montjuïc,la Marina del Prat Vermell,Motors,Saturday,October,7,4,Night,1,0,1,2,2.134984,41.347799
2017S007349,Sants-Montjuïc,la Marina de Port,Corts Catalanes / Sarah Bernhardt,Saturday,September,2,16,Afternoon,1,0,1,2,2.139413,41.367733
2017S009329,Les Corts,la Maternitat i Sant Ramon,Corts,Saturday,November,11,3,Night,2,0,2,1,2.122575,41.3786
2017S008406,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,Mestre Nicolau / Pau Casals,Wednesday,October,11,20,Afternoon,1,0,1,2,2.142535,41.393562
2017S005659,Sarrià-Sant Gervasi,Sant Gervasi - la Bonanova,Dalt (Besòs),Thursday,June,29,14,Afternoon,2,0,2,3,2.131426,41.414127
2017S006324,Sarrià-Sant Gervasi,el Putxet i el Farró,General Mitre,Wednesday,July,19,20,Afternoon,1,0,1,1,2.147157,41.405922
2017S010179,Gràcia,el Camp d'en Grassot i Gràcia Nova,Gràcia,Wednesday,December,6,13,Morning,1,0,1,2,2.163523,41.404794
2017S004329,Gràcia,el Camp d'en Grassot i Gràcia Nova,Rosselló / Grassot,Monday,May,15,20,Afternoon,1,0,1,2,2.169228,41.402271
2017S002066,Horta-Guinardó,Montbau,RDA DALT (BESÒS),Tuesday,March,14,19,Afternoon,0,0,0,2,2.143671,41.428098
