Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S000244,Eixample,l'Antiga Esquerra de l'Eixample,COMTE D'URGELL / Rosselló,Wednesday,January,11,7,Morning,1,0,1,3,2.150542,41.388185
2017S006570,Eixample,la Dreta de l'Eixample,Consell de Cent / Roger de Flor,Friday,July,28,12,Morning,1,0,1,2,2.174308,41.397552
2017S003950,Eixample,la Sagrada Família,Lepant / Mallorca,Thursday,May,4,10,Morning,5,0,5,2,2.176692,41.40444
2017S009695,Les Corts,Pedralbes,Pedro i Pons,Wednesday,November,22,9,Morning,2,0,2,2,2.123139,41.388801
2017S008784,Sarrià-Sant Gervasi,les Tres Torres,Ganduxer,Tuesday,October,24,9,Morning,1,0,1,2,2.132946,41.400738
2017S008215,Sant Andreu,Baró de Viver,Litoral (Besòs),Thursday,October,5,12,Morning,4,0,4,3,2.205163,41.444756
2017S009567,Sant Martí,Provençals del Poblenou,Josep Pla / Pere IV,Friday,November,17,18,Afternoon,2,0,2,2,2.207263,41.415287
2017S004268,Sant Martí,el Parc i la Llacuna del Poblenou,Wellington,Saturday,May,13,20,Afternoon,0,0,0,1,2.187557,41.391081
2017S003554,Ciutat Vella,el Barri Gòtic,Litoral (Besòs),Friday,April,21,10,Morning,2,0,2,4,2.2018,41.392004
2017S010678,Eixample,la Dreta de l'Eixample,Còrsega,Tuesday,December,26,20,Afternoon,1,0,1,2,2.160866,41.397831
2017S010662,Eixample,l'Antiga Esquerra de l'Eixample,Aribau,Tuesday,December,26,11,Morning,1,0,1,2,2.162509,41.385852
2017S004502,Nou Barris,la Guineueta,Valldaura / Fabra i Puig,Sunday,May,21,20,Afternoon,1,0,1,2,2.166306,41.43925
2017S002408,Nou Barris,Verdun,RDA DALT (BESÒS),Saturday,March,25,12,Morning,2,0,2,4,2.162947,41.440441
2017S004006,Nou Barris,les Roquetes,Jaume Pinent,Saturday,May,6,11,Morning,0,1,1,1,2.176035,41.446364
2017S001711,Nou Barris,Vilapicina i la Torre Llobeta,VIA JÚLIA / Via Favència,Thursday,March,2,7,Morning,1,0,1,2,2.179592,41.446074
2017S009935,Nou Barris,Porta,Pintor Alsamora / Escultor Ordóñez,Wednesday,November,29,8,Morning,0,0,0,1,2.176518,41.436043
2017S006472,Sant Andreu,la Trinitat Vella,Litoral (Besòs),Tuesday,July,25,0,Night,1,0,1,2,2.2018,41.392004
2017S008479,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral,Sunday,October,15,11,Morning,0,1,1,2,2.221113,41.407563
2017S001459,Eixample,la Dreta de l'Eixample,PROVENÇA / Pau Claris,Tuesday,February,21,20,Afternoon,2,0,2,1,2.162979,41.395876
2017S004228,Eixample,l'Antiga Esquerra de l'Eixample,Corts Catalanes / Balmes,Friday,May,12,12,Morning,1,0,1,2,2.165353,41.387244
2017S009808,Eixample,la Dreta de l'Eixample,Sant Joan / Aragó,Saturday,November,25,8,Morning,1,0,1,2,2.172037,41.397542
2017S008388,Eixample,la Dreta de l'Eixample,Nàpols / Consell de Cent,Wednesday,October,11,11,Morning,1,0,1,1,2.175427,41.398385
2017S006997,Sants-Montjuïc,Hostafrancs,Corts Catalanes,Tuesday,August,15,11,Morning,1,0,1,2,2.146214,41.372456
2017S004708,Nou Barris,Porta,Valldaura,Sunday,May,28,12,Morning,1,0,1,1,2.182588,41.439233
