Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S008103,Sant Martí,el Clot,Las Navas de Tolosa / Múrcia,Sunday,October,1,21,Afternoon,2,0,2,2,2.187887,41.414538
2017S009025,Eixample,la Nova Esquerra de l'Eixample,València / Vilamarí,Wednesday,November,1,8,Morning,1,0,1,2,2.147159,41.38053
2017S005488,Eixample,l'Antiga Esquerra de l'Eixample,Aragó,Friday,June,23,9,Morning,1,0,1,2,2.16116,41.389575
2017S004103,Eixample,la Dreta de l'Eixample,Sant Joan,Sunday,May,7,11,Morning,1,0,1,4,2.170685,41.398893
2017S003907,Eixample,la Dreta de l'Eixample,Bailèn / Provença,Wednesday,May,3,8,Morning,1,0,1,2,2.167503,41.399263
2017S009973,Eixample,la Dreta de l'Eixample,Tetuan,Thursday,November,30,8,Morning,1,0,1,2,2.175917,41.39419
2017S008728,Sants-Montjuïc,el Poble-sec,Foc,Sunday,October,22,10,Morning,2,0,2,1,2.15073,41.360133
2017S007417,Les Corts,les Corts,Entença / Montnegre,Tuesday,September,5,19,Afternoon,1,0,1,2,2.139702,41.388186
2017S007942,Nou Barris,Ciutat Meridiana,Agudes,Monday,September,25,11,Morning,0,0,0,1,2.178433,41.463132
2017S001050,Sant Martí,Provençals del Poblenou,VENEÇUELA / Treball,Wednesday,February,8,13,Morning,0,1,1,1,2.208467,41.41095
2017S002352,Eixample,la Dreta de l'Eixample,AV DIAGONAL / Pg Sant Joan,Friday,March,24,7,Morning,1,0,1,2,2.169936,41.399124
2017S001005,Sants-Montjuïc,el Poble-sec,CONSELL DE CENT / Marina,Monday,February,6,20,Afternoon,1,0,1,2,2.178829,41.400958
2017S008725,Sants-Montjuïc,Hostafrancs,Creu Coberta / Moianès,Saturday,October,21,23,Night,0,1,1,2,2.142556,41.375267
2017S003217,Les Corts,la Maternitat i Sant Ramon,Diagonal,Friday,April,7,8,Morning,1,0,1,2,2.113353,41.384395
2017S004608,Gràcia,la Salut,Verdi,Thursday,May,25,9,Morning,1,0,1,1,2.151953,41.408809
2017S001753,Ciutat Vella,el Raval,RIERA ALTA,Friday,March,3,16,Afternoon,0,0,0,1,2.16356,41.380272
2017S006775,Ciutat Vella,la Barceloneta,Litoral / Ramon Trias Fargas,Saturday,August,5,5,Night,1,0,1,2,2.195364,41.386727
2017S000309,Eixample,l'Antiga Esquerra de l'Eixample,COMTE D'URGELL,Friday,January,13,8,Morning,1,0,1,2,2.149038,41.389524
2017S002570,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,ARIBAU,Friday,March,31,10,Morning,1,0,1,2,2.150067,41.395525
2017S004020,Horta-Guinardó,el Carmel,Carmel / Albert Llanas,Saturday,May,6,17,Afternoon,1,0,1,2,2.156642,41.416689
2017S009098,Sant Andreu,el Bon Pastor,Sant Adrià / Ferran Junoy,Friday,November,3,20,Afternoon,2,0,2,2,2.194653,41.435309
2017S006990,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Litoral (Llobregat),Tuesday,August,15,1,Night,0,0,0,1,2.209568,41.399537
2017S000377,Eixample,l'Antiga Esquerra de l'Eixample,PARÍS / Villarroel,Saturday,January,14,21,Afternoon,1,0,1,2,2.14943,41.39076
2017S000220,Sarrià-Sant Gervasi,Sarrià,MONTEVIDEO / Pere II Montcada,Tuesday,January,10,12,Morning,1,0,1,2,2.114053,41.399263
2017S009071,Eixample,la Dreta de l'Eixample,Pau Claris / Rosselló,Friday,November,3,5,Night,0,0,0,2,2.161847,41.39672
2017S005354,Eixample,l'Antiga Esquerra de l'Eixample,Balmes / Diagonal,Monday,June,19,9,Morning,2,0,2,3,2.154711,41.395317
