Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S007600,Sant Martí,el Clot,Bilbao / Aragó,Wednesday,September,13,23,Night,1,0,1,5,2.191279,41.411973
2017S007733,Eixample,Sant Antoni,Corts Catalanes,Monday,September,18,23,Night,1,0,1,1,2.161291,41.383845
2017S008998,Eixample,la Dreta de l'Eixample,València / Catalunya,Tuesday,October,31,14,Afternoon,1,0,1,2,2.162304,41.391909
2017S004510,Sants-Montjuïc,la Marina del Prat Vermell,Número 3 Zona Franca / E Zona Franca,Monday,May,22,6,Morning,1,0,1,1,2.151883,41.328179
2017S001436,Les Corts,la Maternitat i Sant Ramon,AV DIAGONAL / John M. Keynes,Tuesday,February,21,8,Morning,1,0,1,2,2.117048,41.385691
2017S010490,Gràcia,la Vila de Gràcia,Riera de Sant Miquel,Saturday,December,16,18,Afternoon,0,0,0,1,2.158148,41.396645
2017S008682,Nou Barris,Canyelles,B-20 (Llobregat),Friday,October,20,18,Afternoon,1,0,1,2,2.164981,41.441179
2017S006340,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal / Casanova,Thursday,July,20,14,Afternoon,1,0,1,2,2.147915,41.393601
2017S003358,Eixample,la Sagrada Família,Mallorca / Sardenya,Thursday,April,13,10,Morning,1,0,1,2,2.174311,41.402644
2017S008334,Sants-Montjuïc,Sants,Valladolid / Santa Caterina,Monday,October,9,19,Afternoon,1,0,1,1,2.137117,41.378122
2017S005189,Les Corts,la Maternitat i Sant Ramon,Arístides Maillol / Cardenal Reig,Tuesday,June,13,19,Afternoon,2,0,2,2,2.119465,41.379324
2017S003682,Gràcia,la Vila de Gràcia,Diagonal / Augusta,Tuesday,April,25,13,Morning,1,0,1,2,2.155714,41.395567
2017S006992,Sant Andreu,Sant Andreu,Virgili / Onze de Setembre,Monday,August,14,9,Morning,0,0,0,1,2.193703,41.430046
2017S003348,Sant Andreu,Sant Andreu,Meridiana,Wednesday,April,12,21,Afternoon,1,0,1,2,2.183805,41.433783
2017S000816,Sant Martí,el Poblenou,JONQUERA,Monday,January,30,21,Afternoon,1,0,1,1,2.207523,41.400071
