Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S003816,Sant Martí,Provençals del Poblenou,Perú / Selva de Mar,Saturday,April,29,14,Afternoon,1,0,1,2,2.202894,41.413519
2017S006013,Sant Martí,el Parc i la Llacuna del Poblenou,Marina / Buenaventura Muñoz,Tuesday,July,11,9,Morning,1,0,1,1,2.187949,41.393957
2017S000795,Ciutat Vella,el Raval,HOSPITAL / Rbla Raval,Monday,January,30,11,Morning,1,0,1,1,2.168071,41.37976
2017S003243,Les Corts,les Corts,Diagonal,Saturday,April,8,6,Morning,0,1,1,1,2.137055,41.391264
2017S004259,Sarrià-Sant Gervasi,Sarrià,B-20 (Besòs),Saturday,May,13,13,Morning,1,0,1,2,2.11538,41.402238
2017S000421,Sarrià-Sant Gervasi,les Tres Torres,RDA GENERAL MITRE,Monday,January,16,15,Afternoon,1,0,1,2,2.132824,41.396814
2017S005910,Gràcia,la Vila de Gràcia,Torrent de les Flors / Encarnació,Thursday,July,6,23,Night,1,0,1,2,2.160023,41.406373
2017S006921,Horta-Guinardó,Horta,Vall d'Hebron,Friday,August,11,18,Afternoon,2,0,2,3,2.157243,41.438897
2017S009216,Eixample,la Sagrada Família,València / Cartagena,Tuesday,November,7,23,Night,2,0,2,1,2.18111,41.406037
2017S009387,Eixample,l'Antiga Esquerra de l'Eixample,Balmes / Provença,Sunday,November,12,21,Afternoon,1,0,1,2,2.1585,41.392446
2017S007208,Eixample,la Sagrada Família,Mallorca / Sardenya,Monday,August,28,9,Morning,1,0,1,1,2.174311,41.402644
2017S007348,Sants-Montjuïc,el Poble-sec,Litoral (Llobregat),Saturday,September,2,12,Morning,3,0,3,2,2.171562,41.366604
2017S008997,Sants-Montjuïc,el Poble-sec,Guàrdia Urbana / Rius i Taulet,Tuesday,October,31,14,Afternoon,1,0,1,2,2.153533,41.372451
2017S000519,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,AV DIAGONAL,Thursday,January,19,19,Afternoon,1,0,1,3,2.150008,41.394369
2017S004692,Sant Andreu,Navas,Meridiana / Las Navas de Tolosa,Saturday,May,27,17,Afternoon,1,0,1,2,2.18689,41.415288
