Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S008323,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,Garcia Fària,Saturday,July,15,13,Morning,2,0,2,2,2.215322,41.404969
2017S007876,Eixample,l'Antiga Esquerra de l'Eixample,París / Muntaner,Saturday,September,23,5,Night,2,0,2,2,2.151684,41.392459
2017S005874,Eixample,la Dreta de l'Eixample,Rosselló,Wednesday,July,5,17,Afternoon,1,0,1,3,2.163596,41.398179
2017S001478,Les Corts,les Corts,AV DIAGONAL / Pl Rna M Cristina,Wednesday,February,22,15,Afternoon,1,0,1,2,2.128211,41.388399
2017S001503,Les Corts,Pedralbes,AV EXÈRCIT,Thursday,February,23,14,Afternoon,1,0,1,1,2.111012,41.385385
2017S002088,Horta-Guinardó,la Clota,RDA DALT (BESÒS),Wednesday,March,15,16,Afternoon,1,0,1,2,2.144064,41.428958
2017S008927,Horta-Guinardó,Horta,Dalt (Besòs),Friday,October,27,19,Afternoon,1,0,1,2,2.152665,41.438175
2017S003440,Horta-Guinardó,el Guinardó,Lluís Sagnier / Varsòvia,Monday,April,17,14,Afternoon,1,0,1,2,2.176643,41.424062
2017S003396,Ciutat Vella,el Raval,Pere Coromines / Sant Oleguer,Friday,April,14,15,Afternoon,2,0,2,1,2.171605,41.377202
2017S002455,Eixample,la Nova Esquerra de l'Eixample,AV J TARRADELLAS,Monday,March,27,17,Afternoon,2,0,2,1,2.143903,41.390273
2017S005497,Eixample,l'Antiga Esquerra de l'Eixample,València / Casanova,Friday,June,23,14,Afternoon,1,0,1,2,2.156205,41.387333
2017S004678,Eixample,la Dreta de l'Eixample,Diagonal / Mallorca,Friday,May,26,17,Afternoon,1,0,1,2,2.169936,41.399124
2017S000061,Eixample,la Dreta de l'Eixample,ARAGÓ / Pg Sant Joan,Tuesday,January,3,13,Morning,0,0,0,2,2.172037,41.397542
2017S003405,Sants-Montjuïc,el Poble-sec,Lleida / Rius i Taulet,Friday,April,14,21,Afternoon,0,0,0,2,2.155181,41.372876
2017S006803,Sants-Montjuïc,el Poble-sec,Paral·lel,Sunday,August,6,19,Afternoon,1,0,1,2,2.15454,41.37482
2017S008110,Ciutat Vella,el Barri Gòtic,B-10 (Llobregat),Monday,October,2,8,Morning,1,0,1,2,2.180549,41.378736
2017S003958,Eixample,la Nova Esquerra de l'Eixample,Entença / Consell de Cent,Thursday,May,4,15,Afternoon,2,0,2,1,2.150532,41.379673
2017S002061,Eixample,la Nova Esquerra de l'Eixample,AV J TARRADELLAS / París,Tuesday,March,14,16,Afternoon,1,0,1,2,2.142628,41.385659
