Id,District_Name,Neighborhood_Name,Street,Weekday,Month,Day,Hour,Part_of_the_day,Mild_injuries,Serious_injuries,Victims,Vehicles_involved,Longitude,Latitude
2017S010405,Ciutat Vella,el Barri Gòtic,Rambla,Saturday,December,16,18,Afternoon,1,0,1,2,2.176248,41.377971
2017S006574,Eixample,la Nova Esquerra de l'Eixample,Josep Tarradellas / Sarrià,Friday,July,28,15,Afternoon,1,0,1,2,2.143645,41.390505
2017S010310,Eixample,la Dreta de l'Eixample,Diagonal / Gràcia,Wednesday,December,13,14,Afternoon,1,0,1,2,2.159495,41.396524
2017S006289,Eixample,la Dreta de l'Eixample,Tetuan,Tuesday,July,18,21,Afternoon,1,0,1,3,2.175728,41.394232
2017S004137,Eixample,la Dreta de l'Eixample,Corts Catalanes / Catalunya,Tuesday,May,9,20,Afternoon,1,0,1,2,2.167024,41.388486
2017S004882,Eixample,el Fort Pienc,Corts Catalanes,Friday,June,2,19,Afternoon,1,0,1,2,2.189613,41.405098
2017S001539,Horta-Guinardó,Sant Genís dels Agudells,CTRA SANT CUGAT,Friday,February,24,15,Afternoon,1,0,1,2,2.128899,41.431862
2017S010402,Horta-Guinardó,el Carmel,Conca de Tremp / Llobregós,Saturday,December,16,12,Morning,1,0,1,1,2.155189,41.423807
2017S000355,Sant Andreu,Sant Andreu,RDA DALT (BESÒS),Saturday,January,14,12,Morning,1,0,1,2,2.187422,41.447051
2017S005175,Ciutat Vella,el Raval,Rambla,Tuesday,June,13,11,Morning,0,0,0,1,2.176455,41.376735
2017S000186,Ciutat Vella,el Raval,LLUNA,Monday,January,9,12,Morning,0,0,0,1,2.166382,41.38087
2017S003621,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",Pujades / Lluís Companys,Sunday,April,23,7,Morning,2,0,2,2,2.18304,41.388628
2017S005827,Eixample,la Sagrada Família,Còrsega / Padilla,Tuesday,July,4,23,Night,0,0,0,2,2.174377,41.407824
2017S004680,Eixample,la Sagrada Família,Marina,Friday,May,26,13,Morning,1,0,1,2,2.174971,41.403946
2017S005027,Les Corts,les Corts,Corts,Thursday,June,8,17,Afternoon,1,0,1,2,2.141118,41.390179
2017S003663,Sant Martí,el Camp de l'Arpa del Clot,Las Navas de Tolosa / Besalú,Monday,April,24,21,Afternoon,0,0,0,1,2.185477,41.416348
2017S006127,Sant Martí,la Vila Olímpica del Poblenou,Litoral,Thursday,July,13,22,Night,3,0,3,3,2.200096,41.389776
2017S001097,Ciutat Vella,la Barceloneta,RDA LITORAL(BESÒS),Thursday,February,9,15,Afternoon,1,0,1,2,2.204611,41.393827
2017S009931,Eixample,l'Antiga Esquerra de l'Eixample,Diagonal,Wednesday,November,29,0,Night,4,0,4,3,2.147633,41.39328
2017S008254,Sants-Montjuïc,la Marina del Prat Vermell,Número 62 Zona Franca,Friday,October,6,16,Afternoon,1,0,1,2,2.139765,41.344311
2017S001410,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,ALFONS XII / Via Augusta,Monday,February,20,15,Afternoon,1,0,1,2,2.146697,41.400989
2017S005632,Gràcia,Vallcarca i els Penitents,Vallcarca,Wednesday,June,28,15,Afternoon,1,0,1,2,2.143472,41.412445
2017S002344,Horta-Guinardó,la Font d'en Fargues,COMALADA / Arc de Sant Martí,Thursday,March,23,19,Afternoon,1,0,1,2,2.171818,41.424016
2017S009456,Nou Barris,la Trinitat Nova,B-20 (Llobregat),Wednesday,November,15,8,Morning,1,0,1,2,2.181514,41.446245
2017S010722,Sant Martí,Provençals del Poblenou,Josep Pla / Perú,Thursday,December,28,12,Morning,1,0,1,2,2.206224,41.416095
2017S003219,Eixample,Sant Antoni,Corts Catalanes / Calàbria,Friday,April,7,10,Morning,1,0,1,2,2.155159,41.379583
